log(g) Teff a1 a2 a3 a4 I1 beaming
5.25 17000.0 0.7104 -0.1243 0.0466 -0.0286 0.00031828 0.8696
5.25 20000.0 0.7314 -0.2821 0.2026 -0.0826 0.000415276 1.0683
5.25 25000.0 0.8886 -0.7749 0.6938 -0.2569 0.000607028 1.2821
5.25 30000.0 1.0191 -1.1231 0.9854 -0.3476 0.000873065 1.4175
5.25 35000.0 0.974 -1.1602 1.0041 -0.3488 0.00117837 1.5105
5.25 40000.0 0.9975 -1.334 1.2046 -0.427 0.00142086 1.5782
5.25 45000.0 1.0617 -1.5596 1.4509 -0.5202 0.00162606 1.6296
5.25 50000.0 1.1367 -1.7823 1.6852 -0.6068 0.00181707 1.6699
5.25 55000.0 1.2096 -1.978 1.8849 -0.6794 0.00199559 1.7023
5.25 60000.0 1.2769 -2.1451 2.0504 -0.7384 0.00216983 1.729
5.5 3750.0 0.5043 1.1816 -1.6787 0.6794 9.18921e-07 -5.0093
5.5 4000.0 1.0007 -0.0929 -0.3881 0.2126 1.28616e-06 -4.5104
5.5 4250.0 1.2826 -0.8452 0.4078 -0.0841 1.8332e-06 -4.0707
5.5 4500.0 1.4277 -1.182 0.7614 -0.2151 2.61827e-06 -3.6807
5.5 4750.0 1.3612 -0.9765 0.5677 -0.1457 3.70053e-06 -3.3324
5.5 5000.0 1.0176 -0.0864 -0.2711 0.1501 5.2676e-06 -3.0198
5.5 5250.0 0.5932 0.9744 -1.2605 0.4894 7.10098e-06 -2.7379
5.5 5500.0 0.1556 2.0362 -2.2392 0.815 9.25902e-06 -2.4824
5.5 5750.0 -0.1481 2.6945 -2.7793 0.9728 1.17381e-05 -2.2501
5.5 6000.0 -0.2937 2.8974 -2.8311 0.9488 1.45597e-05 -2.038
5.5 6250.0 -0.3316 2.7996 -2.5672 0.8098 1.77541e-05 -1.8437
5.5 6500.0 -0.3183 2.5761 -2.1841 0.6306 2.13453e-05 -1.6652
5.5 7000.0 -0.2166 2.0292 -1.3963 0.2834 2.98465e-05 -1.3489
5.5 7500.0 -0.1702 1.8341 -1.1253 0.1546 4.03681e-05 -1.0778
5.5 8000.0 -0.232 2.1469 -1.552 0.3168 5.32066e-05 -0.8432
5.5 8500.0 -0.2912 2.647 -2.3501 0.6643 6.84484e-05 -0.6387
5.5 9000.0 -0.1621 2.6084 -2.5986 0.8276 8.58419e-05 -0.4592
5.5 9500.0 0.1016 1.9003 -1.9433 0.6311 0.000104401 -0.3005
5.5 10000.0 0.3978 0.8695 -0.7942 0.2359 0.000121194 -0.1594
5.5 10500.0 0.5142 0.5323 -0.4377 0.1039 0.000135942 -0.0333
5.5 11000.0 0.5856 0.3942 -0.3623 0.0909 0.000149816 0.0799
5.5 11500.0 0.6407 0.2645 -0.2715 0.0676 0.000163418 0.1821
5.5 12000.0 0.6759 0.165 -0.1927 0.0441 0.000176868 0.2747
5.5 12500.0 0.6943 0.1004 -0.1412 0.0287 0.000190288 0.3589
5.5 13000.0 0.7032 0.0566 -0.1068 0.0185 0.000203779 0.4358
5.5 13500.0 0.7089 0.0216 -0.0793 0.0104 0.000217321 0.5062
5.5 14000.0 0.7095 -0.0025 -0.0606 0.0051 0.000231077 0.5709
5.5 14500.0 0.7103 -0.0266 -0.0407 -0.0009 0.000245022 0.6305
5.5 15000.0 0.7103 -0.0484 -0.0223 -0.0065 0.000259167 0.6856
5.5 15500.0 0.7101 -0.0693 -0.0041 -0.0122 0.000273554 0.7367
5.5 16000.0 0.6982 -0.0614 -0.0151 -0.0071 0.000288176 0.7842
5.5 16500.0 0.7111 -0.1125 0.0352 -0.0249 0.00030302 0.8283
5.5 17000.0 0.7124 -0.1357 0.0571 -0.0322 0.000318151 0.8696
5.5 20000.0 0.74 -0.3112 0.232 -0.0932 0.000414812 1.0683
5.5 25000.0 0.8845 -0.7798 0.7001 -0.2593 0.000605402 1.2821
5.5 30000.0 1.0 -1.1016 0.9682 -0.3419 0.00086738 1.4175
5.5 35000.0 0.9121 -1.0462 0.8969 -0.3108 0.00116827 1.5105
5.5 40000.0 0.8998 -1.1483 1.0297 -0.3651 0.00140766 1.5782
5.5 45000.0 0.9409 -1.3331 1.2404 -0.4464 0.00160885 1.6296
5.5 50000.0 1.0016 -1.5356 1.4599 -0.5288 0.00179498 1.6699
5.5 55000.0 1.0669 -1.7277 1.6613 -0.603 0.00196707 1.7023
5.5 60000.0 1.1316 -1.9029 1.84 -0.6678 0.00213395 1.729
5.75 3750.0 0.5852 0.9913 -1.4955 0.6159 9.5213e-07 -5.0093
