Teff log(g) a1 a2 a3 a4 I1 beaming
17000.0 5.25 0.6171 -0.552 0.5706 -0.2259 0.000164504 1.3337
20000.0 5.25 0.6545 -0.6996 0.712 -0.2747 0.000205693 1.4464
25000.0 5.25 0.8731 -1.2213 1.1947 -0.4392 0.000283826 1.5689
30000.0 5.25 0.8817 -1.1614 1.0512 -0.3693 0.000391187 1.6474
35000.0 5.25 0.7602 -1.0273 0.9451 -0.3379 0.000519067 1.7018
40000.0 5.25 0.8097 -1.2746 1.2338 -0.4506 0.000618453 1.7418
45000.0 5.25 0.8987 -1.5553 1.5339 -0.5623 0.000701347 1.7723
50000.0 5.25 0.992 -1.814 1.7997 -0.6591 0.000777926 1.7965
55000.0 5.25 1.0776 -2.0322 2.017 -0.7368 0.000848996 1.816
60000.0 5.25 1.155 -2.217 2.1964 -0.8001 0.00091789 1.8321
3750.0 5.5 1.7995 -2.4965 2.0861 -0.6941 3.47701e-06 -2.1343
4000.0 5.5 1.7656 -2.5285 2.1639 -0.7319 4.33242e-06 -1.8245
4250.0 5.5 1.7445 -2.5175 2.1732 -0.7395 5.45637e-06 -1.5532
4500.0 5.5 1.6842 -2.2975 1.9182 -0.6382 6.87888e-06 -1.314
4750.0 5.5 1.4815 -1.7079 1.2891 -0.4006 8.60379e-06 -1.1018
5000.0 5.5 1.0922 -0.6463 0.2136 -0.0083 1.08174e-05 -0.9125
5250.0 5.5 0.6016 0.603 -1.0002 0.418 1.30058e-05 -0.7428
5500.0 5.5 0.1467 1.6655 -1.9616 0.7331 1.53725e-05 -0.59
5750.0 5.5 -0.1136 2.1535 -2.2947 0.8089 1.78988e-05 -0.4519
6000.0 5.5 -0.1963 2.1636 -2.1384 0.7089 2.05843e-05 -0.3265
6250.0 5.5 -0.1808 1.9313 -1.754 0.5336 2.34302e-05 -0.2122
6500.0 5.5 -0.1268 1.6238 -1.317 0.3467 2.64392e-05 -0.1077
7000.0 5.5 0.0213 1.0144 -0.5427 0.0332 3.29903e-05 0.0762
7500.0 5.5 0.1182 0.6812 -0.1552 -0.12 4.03386e-05 0.2327
8000.0 5.5 0.1437 0.6326 -0.1262 -0.1332 4.84878e-05 0.3672
8500.0 5.5 0.1537 0.7017 -0.2844 -0.0616 5.72422e-05 0.4838
9000.0 5.5 0.2656 0.4849 -0.1648 -0.0774 6.60223e-05 0.5857
9500.0 5.5 0.4561 -0.0246 0.2818 -0.2051 7.34154e-05 0.6755
10000.0 5.5 0.5563 -0.2597 0.3996 -0.1979 7.83609e-05 0.7551
10500.0 5.5 0.5517 -0.2245 0.3105 -0.1475 8.4041e-05 0.8261
11000.0 5.5 0.5566 -0.2262 0.2879 -0.135 9.00832e-05 0.8898
11500.0 5.5 0.5608 -0.2349 0.2757 -0.1263 9.60887e-05 0.9472
12000.0 5.5 0.5694 -0.2672 0.2953 -0.1301 0.00010207 0.9992
12500.0 5.5 0.5743 -0.2975 0.3194 -0.1371 0.000108106 1.0465
13000.0 5.5 0.5772 -0.3252 0.3449 -0.1456 0.000114203 1.0896
13500.0 5.5 0.5825 -0.3591 0.3784 -0.1574 0.000120317 1.1291
14000.0 5.5 0.5812 -0.3758 0.3953 -0.1634 0.000126512 1.1655
14500.0 5.5 0.5835 -0.4001 0.4194 -0.172 0.00013276 1.199
15000.0 5.5 0.5847 -0.4199 0.4391 -0.1789 0.000139058 1.23
15500.0 5.5 0.5867 -0.4412 0.4605 -0.1865 0.000145423 1.2588
16000.0 5.5 0.5583 -0.3865 0.4027 -0.1646 0.000151851 1.2855
16500.0 5.5 0.591 -0.4798 0.4983 -0.1997 0.00015833 1.3104
17000.0 5.5 0.5949 -0.5017 0.5193 -0.2069 0.000164898 1.3337
20000.0 5.5 0.6556 -0.7081 0.7223 -0.2787 0.000205976 1.4464
25000.0 5.5 0.8556 -1.1898 1.1655 -0.429 0.000283784 1.5689
30000.0 5.5 0.841 -1.0802 0.9726 -0.3411 0.000389611 1.6474
35000.0 5.5 0.6766 -0.8479 0.7682 -0.2739 0.000515464 1.7018
40000.0 5.5 0.6916 -1.0236 0.9884 -0.3623 0.000613637 1.7418
45000.0 5.5 0.7588 -1.2645 1.2531 -0.4621 0.000695046 1.7723
50000.0 5.5 0.8365 -1.4966 1.4962 -0.5515 0.000769875 1.7965
55000.0 5.5 0.9119 -1.7018 1.7044 -0.6267 0.000838735 1.816
60000.0 5.5 0.9827 -1.8816 1.8823 -0.69 0.000905188 1.8321
3750.0 5.75 1.8376 -2.5841 2.1783 -0.7289 3.54425e-06 -2.1343
4000.0 5.75 1.7789 -2.5585 2.196 -0.7442 4.38474e-06 -1.8245
4250.0 5.75 1.7508 -2.5361 2.1932 -0.7471 5.49058e-06 -1.5532
4500.0 5.75 1.7762 -2.5905 2.2548 -0.771 6.8952e-06 -1.314
4750.0 5.75 1.5324 -1.8626 1.4521 -0.4617 8.59823e-06 -1.1018
5000.0 5.75 1.21 -0.9654 0.5295 -0.1216 1.08459e-05 -0.9125
5250.0 5.75 0.7735 0.1696 -0.5889 0.2767 1.30246e-05 -0.7428
5500.0 5.75 0.3005 1.3152 -1.6619 0.6404 1.53911e-05 -0.59
5750.0 5.75 -0.0254 2.0019 -2.2175 0.8018 1.79188e-05 -0.4519
6000.0 5.75 -0.1603 2.1625 -2.2237 0.762 2.0601e-05 -0.3265
6250.0 5.75 -0.1897 2.0597 -1.9784 0.6375 2.34392e-05 -0.2122
6500.0 5.75 -0.1591 1.8196 -1.6134 0.4762 2.6442e-05 -0.1077
7000.0 5.75 -0.0388 1.2645 -0.8747 0.1689 3.29523e-05 0.0762
7500.0 5.75 0.0652 0.8774 -0.4034 -0.0213 4.02242e-05 0.2327
8000.0 5.75 0.1013 0.7735 -0.2972 -0.0663 4.82875e-05 0.3672
8500.0 5.75 0.1059 0.8364 -0.4313 -0.0078 5.70086e-05 0.4838
9000.0 5.75 0.192 0.6991 -0.3928 0.0031 6.596e-05 0.5857
9500.0 5.75 0.3446 0.2943 -0.0341 -0.1037 7.40592e-05 0.6755
10000.0 5.75 0.4912 -0.1068 0.2942 -0.1826 7.96866e-05 0.7551
10500.0 5.75 0.5417 -0.2119 0.3103 -0.1523 8.47522e-05 0.8261
11000.0 5.75 0.5503 -0.2234 0.2921 -0.1378 9.0703e-05 0.8898
11500.0 5.75 0.5525 -0.2236 0.2712 -0.1263 9.67217e-05 0.9472
12000.0 5.75 0.5592 -0.246 0.2779 -0.125 0.000102695 0.9992
12500.0 5.75 0.5631 -0.2715 0.2953 -0.129 0.000108678 1.0465
13000.0 5.75 0.5668 -0.3001 0.3203 -0.1369 0.000114737 1.0896
13500.0 5.75 0.5683 -0.3238 0.3422 -0.1441 0.000120865 1.1291
14000.0 5.75 0.5696 -0.3469 0.3649 -0.152 0.000127047 1.1655
14500.0 5.75 0.571 -0.3695 0.3879 -0.1603 0.000133286 1.199
15000.0 5.75 0.5721 -0.3899 0.4085 -0.1676 0.000139585 1.23
15500.0 5.75 0.5732 -0.4088 0.4273 -0.1742 0.000145942 1.2588
16000.0 5.75 0.5745 -0.4269 0.4451 -0.1804 0.000152362 1.2855
16500.0 5.75 0.5769 -0.4464 0.4641 -0.187 0.000158846 1.3104
