log(g) Teff a1 a2 a3 a4 I1 beaming
5.25 16500.0 0.7877 -0.5876 0.6431 -0.2541 0.000260725 0.4019
5.25 17000.0 0.7959 -0.6156 0.6681 -0.263 0.000280071 0.4592
5.25 20000.0 0.7932 -0.6519 0.6848 -0.2668 0.00041002 0.7352
5.25 25000.0 0.9539 -1.0284 1.0117 -0.3759 0.000687738 1.0314
5.25 30000.0 0.9995 -1.0836 0.9788 -0.3472 0.00110611 1.2181
5.25 35000.0 0.9252 -1.0441 0.9195 -0.3231 0.00161365 1.3457
5.25 40000.0 0.9634 -1.2489 1.1477 -0.4112 0.00201761 1.4381
5.25 45000.0 1.0386 -1.4913 1.4055 -0.5076 0.00235988 1.508
5.25 50000.0 1.1202 -1.7194 1.6402 -0.5936 0.00267889 1.5625
5.25 55000.0 1.1958 -1.9113 1.8316 -0.6624 0.00297762 1.6063
5.25 60000.0 1.2636 -2.0702 1.9855 -0.7167 0.00326974 1.6422
5.5 3750.0 -0.6955 3.5517 -3.4247 1.1564 2.24554e-07 -7.3421
5.5 4000.0 -0.3588 3.131 -3.3511 1.2181 3.56024e-07 -6.696
5.5 4250.0 0.0599 2.2453 -2.58 0.9717 5.72063e-07 -6.1261
5.5 4500.0 0.4026 1.451 -1.7872 0.6883 9.16312e-07 -5.6197
5.5 4750.0 0.5433 1.1173 -1.4128 0.5484 1.44686e-06 -5.1669
5.5 5000.0 0.2472 1.7683 -1.8844 0.6894 2.19894e-06 -4.7596
5.5 5250.0 0.0762 2.1664 -2.1886 0.7768 3.38794e-06 -4.3916
5.5 5500.0 -0.1434 2.7376 -2.7115 0.9443 4.85335e-06 -4.0573
5.5 5750.0 -0.3292 3.2016 -3.1271 1.071 6.59431e-06 -3.7526
5.5 6000.0 -0.4414 3.4187 -3.2612 1.0885 8.61874e-06 -3.4737
5.5 6250.0 -0.4853 3.4095 -3.1353 1.0053 1.09206e-05 -3.2176
5.5 6500.0 -0.4835 3.2616 -2.8612 0.8677 1.34679e-05 -2.9817
5.5 7000.0 -0.349 2.6439 -2.0383 0.5135 1.91223e-05 -2.5621
5.5 7500.0 -0.1507 1.9777 -1.3154 0.243 2.53178e-05 -2.2004
5.5 8000.0 0.0324 1.4639 -0.8818 0.1189 3.20628e-05 -1.886
5.5 8500.0 0.2269 0.9904 -0.5645 0.06 3.95502e-05 -1.6107
5.5 9000.0 0.4878 0.3413 -0.073 -0.0577 4.78499e-05 -1.3678
5.5 9500.0 0.7186 -0.2717 0.4369 -0.1984 5.64627e-05 -1.1523
5.5 10000.0 0.8397 -0.6047 0.7031 -0.2683 6.38571e-05 -0.9601
5.5 10500.0 0.8593 -0.6973 0.8011 -0.3021 7.31616e-05 -0.7877
5.5 11000.0 0.8636 -0.7306 0.842 -0.3198 8.44508e-05 -0.6325
5.5 11500.0 0.8559 -0.7255 0.8419 -0.3233 9.6976e-05 -0.4921
5.5 12000.0 0.8461 -0.7064 0.822 -0.319 0.000110427 -0.3647
5.5 12500.0 0.833 -0.6753 0.784 -0.3063 0.000124563 -0.2485
5.5 13000.0 0.823 -0.6533 0.7539 -0.2958 0.000139243 -0.1423
5.5 13500.0 0.8206 -0.65 0.7419 -0.291 0.00015439 -0.0449
5.5 14000.0 0.8106 -0.6335 0.7193 -0.2827 0.00017009 0.0447
5.5 14500.0 0.8058 -0.6303 0.7107 -0.2793 0.000186337 0.1274
5.5 15000.0 0.8011 -0.6282 0.7044 -0.277 0.000203144 0.2038
5.5 15500.0 0.7965 -0.6268 0.6992 -0.275 0.000220552 0.2747
5.5 16000.0 0.7527 -0.5343 0.6028 -0.2398 0.000238588 0.3406
5.5 16500.0 0.7889 -0.6264 0.692 -0.2722 0.000257174 0.4019
5.5 17000.0 0.7876 -0.6317 0.6942 -0.2729 0.000276436 0.4592
5.5 20000.0 0.8174 -0.7404 0.7838 -0.3036 0.00040557 0.7352
5.5 25000.0 0.9605 -1.0722 1.0641 -0.3959 0.000681366 1.0314
5.5 30000.0 0.982 -1.07 0.9721 -0.3454 0.00109337 1.2181
5.5 35000.0 0.8632 -0.9316 0.8165 -0.287 0.00159388 1.3457
5.5 40000.0 0.8668 -1.0684 0.9807 -0.3527 0.00199299 1.4381
5.5 45000.0 0.9209 -1.276 1.2089 -0.4394 0.00232867 1.508
5.5 50000.0 0.9902 -1.4891 1.4338 -0.5229 0.00263966 1.5625
5.5 55000.0 1.0609 -1.6851 1.635 -0.5964 0.00292759 1.6063
5.5 60000.0 1.1291 -1.8599 1.8099 -0.6593 0.00320718 1.6422
5.75 3750.0 -0.6992 3.6778 -3.6454 1.2592 2.37738e-07 -7.3421
5.75 4000.0 -0.2723 2.9885 -3.2634 1.2009 3.68524e-07 -6.696
5.75 4250.0 0.2162 1.9038 -2.2701 0.868 5.82925e-07 -6.1261
5.75 4500.0 0.5381 1.132 -1.4912 0.5873 9.23894e-07 -5.6197
5.75 4750.0 0.7497 0.6395 -0.9658 0.3922 1.44359e-06 -5.1669
5.75 5000.0 0.4426 1.3419 -1.5138 0.5652 2.13668e-06 -4.7596
5.75 5250.0 0.2861 1.6937 -1.7729 0.6403 3.32545e-06 -4.3916
5.75 5500.0 0.054 2.2811 -2.3025 0.8111 4.80397e-06 -4.0573
5.75 5750.0 -0.1707 2.8557 -2.8389 0.9847 6.55955e-06 -3.7526
5.75 6000.0 -0.3229 3.1985 -3.1199 1.0604 8.59245e-06 -3.4737
5.75 6250.0 -0.41 3.3356 -3.1723 1.049 1.08983e-05 -3.2176
5.75 6500.0 -0.4393 3.2919 -3.0241 0.9616 1.34617e-05 -2.9817
5.75 7000.0 -0.3781 2.879 -2.414 0.6828 1.9193e-05 -2.5621
5.75 7500.0 -0.215 2.2613 -1.6913 0.3966 2.55237e-05 -2.2004
5.75 8000.0 -0.0272 1.6676 -1.1092 0.2 3.23754e-05 -1.886
5.75 8500.0 0.1737 1.1063 -0.6394 0.0699 3.98989e-05 -1.6107
5.75 9000.0 0.4337 0.4202 -0.0786 -0.0795 4.82334e-05 -1.3678
5.75 9500.0 0.6578 -0.1917 0.4361 -0.221 5.69994e-05 -1.1523
5.75 10000.0 0.7942 -0.5542 0.7077 -0.2839 6.45143e-05 -0.9601
5.75 10500.0 0.851 -0.7161 0.8297 -0.3134 7.26439e-05 -0.7877
5.75 11000.0 0.8591 -0.7623 0.8794 -0.3321 8.32177e-05 -0.6325
5.75 11500.0 0.8531 -0.7641 0.8872 -0.3383 9.51971e-05 -0.4921
5.75 12000.0 0.8439 -0.749 0.8734 -0.3363 0.000108251 -0.3647
5.75 12500.0 0.8288 -0.7146 0.8353 -0.3244 0.000122119 -0.2485
5.75 13000.0 0.8182 -0.6892 0.8024 -0.3131 0.000136643 -0.1423
5.75 13500.0 0.8096 -0.6702 0.7754 -0.3034 0.000151733 -0.0449
5.75 14000.0 0.803 -0.6589 0.7575 -0.2968 0.000167364 0.0447
5.75 14500.0 0.7974 -0.6518 0.7448 -0.2921 0.000183546 0.1274
5.75 15000.0 0.7924 -0.6471 0.7352 -0.2886 0.000200304 0.2038
5.75 15500.0 0.7878 -0.6441 0.7283 -0.286 0.000217643 0.2747
5.75 16000.0 0.7838 -0.6426 0.7234 -0.2843 0.000235583 0.3406
5.75 16500.0 0.781 -0.6432 0.7204 -0.2832 0.000254135 0.4019
5.75 17000.0 0.7239 -0.5191 0.5925 -0.2365 0.000273363 0.4592
5.75 20000.0 0.8106 -0.7535 0.8073 -0.3131 0.000401978 0.7352
5.75 25000.0 0.9722 -1.1232 1.1237 -0.4185 0.000676692 1.0314
5.75 30000.0 0.9638 -1.0492 0.958 -0.3411 0.00108471 1.2181
5.75 35000.0 0.8068 -0.8234 0.7154 -0.2513 0.00157917 1.3457
5.75 40000.0 0.7781 -0.8929 0.8148 -0.294 0.00197349 1.4381
5.75 45000.0 0.8093 -1.0559 1.0013 -0.3661 0.00230388 1.508
5.75 50000.0 0.8619 -1.241 1.2021 -0.4416 0.00260781 1.5625
5.75 55000.0 0.9209 -1.4196 1.3896 -0.5109 0.00288832 1.6063
5.75 60000.0 0.9821 -1.5898 1.5639 -0.5744 0.0031587 1.6422
6.0 3750.0 -0.6816 3.7409 -3.7943 1.335 2.52186e-07 -7.3421
6.0 4000.0 -0.1847 2.8289 -3.1451 1.1694 3.82101e-07 -6.696
6.0 4250.0 0.3577 1.5851 -1.9699 0.7644 5.9473e-07 -6.1261
6.0 4500.0 0.7026 0.7416 -1.1117 0.4527 9.3184e-07 -5.6197
6.0 4750.0 0.9281 0.2114 -0.551 0.2441 1.44423e-06 -5.1669
6.0 5000.0 0.5991 0.9941 -1.2065 0.4606 2.06452e-06 -4.7596
6.0 5250.0 0.4698 1.2811 -1.4127 0.5213 3.25652e-06 -4.3916
6.0 5500.0 0.2408 1.8425 -1.9062 0.6805 4.74688e-06 -4.0573
6.0 5750.0 -0.0103 2.4844 -2.5097 0.8795 6.5223e-06 -3.7526
6.0 6000.0 -0.2039 2.9534 -2.9339 1.0111 8.57184e-06 -3.4737
6.0 6250.0 -0.3215 3.1913 -3.1076 1.0484 1.08941e-05 -3.2176
6.0 6500.0 -0.3814 3.2508 -3.0836 1.0106 1.3472e-05 -2.9817
6.0 7000.0 -0.3761 3.0196 -2.6858 0.8143 1.92761e-05 -2.5621
6.0 7500.0 -0.2648 2.5264 -2.0699 0.5586 2.57344e-05 -2.2004
6.0 8000.0 -0.0914 1.9197 -1.419 0.32 3.27334e-05 -1.886
6.0 8500.0 0.1084 1.2953 -0.8211 0.1258 4.03475e-05 -1.6107
6.0 9000.0 0.3607 0.5759 -0.1775 -0.0663 4.87283e-05 -1.3678
6.0 9500.0 0.6152 -0.1419 0.4568 -0.2515 5.76464e-05 -1.1523
6.0 10000.0 0.786 -0.6012 0.8175 -0.3396 6.60925e-05 -0.9601
6.0 10500.0 0.8369 -0.731 0.8775 -0.338 7.3168e-05 -0.7877
6.0 11000.0 0.8525 -0.7868 0.9148 -0.3453 8.26102e-05 -0.6325
6.0 11500.0 0.8469 -0.7911 0.9231 -0.3506 9.40292e-05 -0.4921
6.0 12000.0 0.8351 -0.7721 0.9068 -0.3477 0.000106626 -0.3647
6.0 12500.0 0.823 -0.7467 0.8797 -0.3402 0.000120181 -0.2485
6.0 13000.0 0.8113 -0.7191 0.8467 -0.3294 0.000134504 -0.1423
6.0 13500.0 0.8016 -0.6958 0.8159 -0.3186 0.000149471 -0.0449
6.0 14000.0 0.7943 -0.6803 0.7934 -0.3105 0.000165029 0.0447
6.0 14500.0 0.7883 -0.6701 0.7772 -0.3047 0.000181161 0.1274
6.0 15000.0 0.7829 -0.6626 0.7644 -0.3 0.000197875 0.2038
6.0 15500.0 0.7779 -0.657 0.7546 -0.2965 0.00021518 0.2747
6.0 16000.0 0.7746 -0.6559 0.7501 -0.295 0.000233088 0.3406
6.0 16500.0 0.7695 -0.6498 0.7399 -0.2913 0.000251615 0.4019
6.0 17000.0 0.7694 -0.6553 0.7417 -0.2918 0.000270762 0.4592
6.0 20000.0 0.8016 -0.7582 0.8231 -0.32 0.000399231 0.7352
6.0 25000.0 0.9664 -1.1279 1.1361 -0.424 0.000673587 1.0314
6.0 30000.0 0.9197 -0.9605 0.8729 -0.3104 0.00107945 1.2181
6.0 35000.0 0.758 -0.726 0.6238 -0.219 0.00156844 1.3457
6.0 40000.0 0.701 -0.7335 0.6615 -0.2392 0.0019584 1.4381
6.0 45000.0 0.7101 -0.8513 0.8046 -0.296 0.00228394 1.508
6.0 50000.0 0.7457 -1.0036 0.975 -0.361 0.00258149 1.5625
6.0 55000.0 0.7909 -1.1571 1.1397 -0.4224 0.00285538 1.6063
6.0 60000.0 0.8448 -1.3202 1.3102 -0.4851 0.0031353 1.6422
6.0 65000.0 0.6563 -0.6556 0.6114 -0.2302 0.00400158 1.6722
6.0 70000.0 0.704 -0.802 0.767 -0.2879 0.00429384 1.6975
6.0 75000.0 0.7552 -0.9473 0.9172 -0.3428 0.00458642 1.7193
6.0 80000.0 0.8074 -1.0872 1.0593 -0.3942 0.00488032 1.7381
6.0 85000.0 0.8593 -1.2193 1.1913 -0.4415 0.00517667 1.7546
6.0 90000.0 0.9094 -1.3404 1.3096 -0.4833 0.00547592 1.7691
6.0 100000.0 0.9992 -1.5469 1.5092 -0.554 0.00609085 1.7936
6.25 3750.0 -0.6443 3.7438 -3.8722 1.3827 2.67678e-07 -7.3421
6.25 4000.0 -0.0973 2.6587 -3.0059 1.1276 3.96951e-07 -6.696
6.25 4250.0 0.482 1.2999 -1.6944 0.6676 6.07682e-07 -6.1261
6.25 4500.0 0.8499 0.3865 -0.7591 0.3256 9.40962e-07 -5.6197
6.25 4750.0 1.081 -0.1632 -0.1808 0.1105 1.44727e-06 -5.1669
6.25 5000.0 0.6906 0.7944 -1.0373 0.4038 1.99412e-06 -4.7596
6.25 5250.0 0.6151 0.9543 -1.1287 0.4262 3.1739e-06 -4.3916
6.25 5500.0 0.4108 1.4423 -1.5458 0.5607 4.67786e-06 -4.0573
6.25 5750.0 0.1493 2.1037 -2.1636 0.7661 6.47761e-06 -3.7526
6.25 6000.0 -0.081 2.6817 -2.7078 0.9441 8.55243e-06 -3.4737
6.25 6250.0 -0.2325 3.0235 -2.9996 1.0275 1.08976e-05 -3.2176
6.25 6500.0 -0.3215 3.1853 -3.1029 1.0417 1.3498e-05 -2.9817
6.25 7000.0 -0.3571 3.0931 -2.8708 0.9104 1.93718e-05 -2.5621
6.25 7500.0 -0.2901 2.7295 -2.3915 0.7033 2.5955e-05 -2.2004
6.25 8000.0 -0.1485 2.1813 -1.7663 0.4621 3.31141e-05 -1.886
6.25 8500.0 0.037 1.5447 -1.1027 0.2281 4.08691e-05 -1.6107
6.25 9000.0 0.2741 0.8054 -0.379 -0.0103 4.93515e-05 -1.3678
6.25 9500.0 0.5476 -0.0041 0.3836 -0.25 5.84623e-05 -1.1523
6.25 10000.0 0.7224 -0.5154 0.8307 -0.3753 6.75566e-05 -0.9601
6.25 10500.0 0.8162 -0.7506 0.9668 -0.3879 7.49229e-05 -0.7877
6.25 11000.0 0.8433 -0.8074 0.9607 -0.367 8.28948e-05 -0.6325
6.25 11500.0 0.8392 -0.8105 0.9558 -0.3633 9.35073e-05 -0.4921
6.25 12000.0 0.828 -0.795 0.9422 -0.3608 0.000105637 -0.3647
6.25 12500.0 0.8151 -0.7685 0.9149 -0.3532 0.000118828 -0.2485
6.25 13000.0 0.8025 -0.7393 0.8815 -0.3426 0.000132895 -0.1423
6.25 13500.0 0.7917 -0.7129 0.8485 -0.3313 0.0001477 -0.0449
6.25 14000.0 0.7836 -0.6942 0.8231 -0.3225 0.00016316 0.0447
6.25 14500.0 0.7768 -0.6798 0.8022 -0.3149 0.000179236 0.1274
6.25 15000.0 0.7716 -0.671 0.788 -0.3098 0.000195917 0.2038
6.25 15500.0 0.7651 -0.6604 0.7727 -0.3044 0.000213209 0.2747
6.25 16000.0 0.763 -0.6601 0.7681 -0.3028 0.000231107 0.3406
6.25 16500.0 0.7601 -0.6582 0.7622 -0.3007 0.000249626 0.4019
6.25 17000.0 0.7583 -0.658 0.7577 -0.299 0.00026878 0.4592
6.25 20000.0 0.7951 -0.7648 0.8408 -0.3278 0.000397305 0.7352
6.25 25000.0 0.9603 -1.1272 1.1427 -0.4274 0.00067184 1.0314
6.25 30000.0 0.9263 -0.9873 0.9052 -0.3231 0.00107669 1.2181
6.25 35000.0 0.7167 -0.6403 0.5422 -0.1901 0.00156107 1.3457
6.25 40000.0 0.6363 -0.5961 0.5283 -0.1915 0.00194684 1.4381
6.25 45000.0 0.6267 -0.674 0.6323 -0.2342 0.0022679 1.508
6.25 50000.0 0.6466 -0.7951 0.7727 -0.2884 0.00256719 1.5625
6.25 55000.0 0.6794 -0.9253 0.9158 -0.3424 0.00284049 1.6063
6.25 60000.0 0.7185 -1.0569 1.0563 -0.3946 0.00310033 1.6422
6.5 3750.0 -0.5886 3.6901 -3.8827 1.4036 2.84265e-07 -7.3421
6.5 4000.0 -0.0097 2.48 -2.8496 1.0777 4.13358e-07 -6.696
6.5 4250.0 0.5899 1.0492 -1.4474 0.5795 6.22268e-07 -6.1261
6.5 4500.0 0.9759 0.0797 -0.4498 0.2129 9.51826e-07 -5.6197
6.5 4750.0 1.2102 -0.4813 0.1366 -0.0048 1.45198e-06 -5.1669
6.5 5000.0 0.7974 0.5346 -0.7925 0.3174 1.92302e-06 -4.7596
6.5 5250.0 0.7298 0.6938 -0.9024 0.3495 3.0912e-06 -4.3916
6.5 5500.0 0.5585 1.0972 -1.2397 0.459 4.59741e-06 -4.0573
