Teff log(g) a1 a2 a3 a4 I1 beaming
16500.0 5.25 0.6046 -0.6595 0.6692 -0.2559 0.000126284 1.4153
17000.0 5.25 0.6152 -0.6957 0.7059 -0.2692 0.0001312 1.4347
20000.0 5.25 0.6506 -0.8294 0.8389 -0.3164 0.000161923 1.5292
25000.0 5.25 0.8556 -1.2918 1.26 -0.4587 0.000219726 1.6323
30000.0 5.25 0.8343 -1.1545 1.0526 -0.3698 0.00029895 1.6986
35000.0 5.25 0.7159 -1.0343 0.9751 -0.3521 0.000394688 1.7447
40000.0 5.25 0.7749 -1.2994 1.2804 -0.4703 0.000469047 1.7786
45000.0 5.25 0.867 -1.581 1.578 -0.5803 0.000530966 1.8046
50000.0 5.25 0.9603 -1.834 1.8352 -0.6734 0.000588111 1.8252
55000.0 5.25 1.0441 -2.0435 2.0418 -0.7469 0.000641053 1.8418
60000.0 5.25 1.1189 -2.2193 2.2108 -0.806 0.00069228 1.8556
3750.0 5.5 1.862 -2.8344 2.4731 -0.8435 4.36396e-06 -1.4723
4000.0 5.5 1.7327 -2.6208 2.2909 -0.7835 5.30069e-06 -1.2091
4250.0 5.5 1.6849 -2.5349 2.2179 -0.7595 6.48896e-06 -0.9792
4500.0 5.5 1.6141 -2.2847 1.9279 -0.6445 7.94903e-06 -0.7771
4750.0 5.5 1.4167 -1.705 1.3045 -0.4081 9.67119e-06 -0.5981
5000.0 5.5 1.0498 -0.6916 0.268 -0.0283 1.18177e-05 -0.4389
5250.0 5.5 0.5854 0.5018 -0.9005 0.3839 1.38837e-05 -0.2964
5500.0 5.5 0.1552 1.5112 -1.8182 0.6855 1.60719e-05 -0.1683
5750.0 5.5 -0.0885 1.9684 -2.1309 0.7568 1.83673e-05 -0.0526
6000.0 5.5 -0.164 1.9732 -1.9802 0.6616 2.07682e-05 0.0522
6250.0 5.5 -0.1482 1.7553 -1.6229 0.4993 2.32727e-05 0.1477
6500.0 5.5 -0.0964 1.4678 -1.2181 0.3269 2.58785e-05 0.2348
7000.0 5.5 0.0453 0.8967 -0.5034 0.0402 3.14096e-05 0.3881
7500.0 5.5 0.1446 0.5642 -0.1313 -0.102 3.73929e-05 0.5183
8000.0 5.5 0.1853 0.4629 -0.0551 -0.1265 4.37817e-05 0.6302
8500.0 5.5 0.2201 0.4298 -0.0986 -0.0942 5.04106e-05 0.7271
9000.0 5.5 0.3435 0.146 0.1014 -0.1387 5.68412e-05 0.8118
9500.0 5.5 0.5144 -0.3169 0.4947 -0.2469 6.20154e-05 0.8864
10000.0 5.5 0.5776 -0.4579 0.5321 -0.2227 6.54904e-05 0.9526
10500.0 5.5 0.5644 -0.4189 0.4592 -0.1858 6.96681e-05 1.0116
11000.0 5.5 0.5666 -0.4286 0.4589 -0.1843 7.4269e-05 1.0646
11500.0 5.5 0.5669 -0.4348 0.4548 -0.1811 7.89015e-05 1.1123
12000.0 5.5 0.5707 -0.4555 0.4681 -0.1843 8.35246e-05 1.1556
12500.0 5.5 0.5719 -0.4736 0.4831 -0.1889 8.8184e-05 1.1949
13000.0 5.5 0.5716 -0.4895 0.4978 -0.1938 9.28723e-05 1.2309
13500.0 5.5 0.5755 -0.5165 0.5263 -0.2045 9.75368e-05 1.2638
14000.0 5.5 0.5727 -0.5256 0.5355 -0.2077 0.00010225 1.2942
14500.0 5.5 0.5737 -0.5439 0.5548 -0.2148 0.000106983 1.3221
15000.0 5.5 0.5748 -0.5616 0.5738 -0.2218 0.000111739 1.348
15500.0 5.5 0.576 -0.5783 0.5916 -0.2285 0.000116534 1.3721
16000.0 5.5 0.5468 -0.5203 0.532 -0.2063 0.000121369 1.3944
16500.0 5.5 0.5794 -0.6111 0.6257 -0.2409 0.000126232 1.4153
17000.0 5.5 0.5828 -0.6298 0.6446 -0.2476 0.000131157 1.4347
20000.0 5.5 0.6424 -0.8203 0.8347 -0.3157 0.000161832 1.5292
25000.0 5.5 0.8287 -1.238 1.2092 -0.4408 0.000219455 1.6323
30000.0 5.5 0.7807 -1.0393 0.9389 -0.3287 0.000297629 1.6986
35000.0 5.5 0.6225 -0.8287 0.7713 -0.2783 0.000391889 1.7447
40000.0 5.5 0.6502 -1.0293 1.015 -0.3746 0.000465397 1.7786
45000.0 5.5 0.7229 -1.2753 1.2807 -0.4738 0.000526277 1.8046
50000.0 5.5 0.802 -1.504 1.5171 -0.56 0.000582185 1.8252
55000.0 5.5 0.8762 -1.7002 1.7133 -0.6303 0.000633589 1.8418
60000.0 5.5 0.9445 -1.8697 1.879 -0.6889 0.000683125 1.8556
3750.0 5.75 1.9077 -2.9296 2.5682 -0.8784 4.43248e-06 -1.4723
4000.0 5.75 1.7456 -2.6458 2.3158 -0.7927 5.354e-06 -1.2091
4250.0 5.75 1.6877 -2.5426 2.2256 -0.7624 6.5231e-06 -0.9792
4500.0 5.75 1.7073 -2.5781 2.2645 -0.7772 7.9649e-06 -0.7771
4750.0 5.75 1.4615 -1.8441 1.4526 -0.4639 9.66569e-06 -0.5981
5000.0 5.75 1.1578 -0.9889 0.5657 -0.1358 1.18483e-05 -0.4389
5250.0 5.75 0.7459 0.093 -0.5092 0.2487 1.39065e-05 -0.2964
