Teff log(g) a1 a2 a3 a4 I1
4100.0 3.5 2.98018 -5.5755 5.61689 -1.62394 114995000.0
4200.0 3.5 2.85846 -5.32544 5.44992 -1.60754 118752000.0
4300.0 3.5 2.84076 -5.2965 5.48318 -1.65827 120790000.0
4400.0 3.5 2.78547 -5.17033 5.40927 -1.66775 118839000.0
4500.0 3.5 2.84442 -5.27456 5.52931 -1.73594 110471000.0
4600.0 3.5 2.80569 -5.15903 5.43084 -1.72421 91928200.0
4700.0 3.5 2.93394 -5.41277 5.67767 -1.82852 61460100.0
4800.0 3.5 3.01157 -5.56059 5.8216 -1.89404 38176200.0
4900.0 3.5 3.05034 -5.62657 5.88725 -1.9304 31879100.0
5100.0 3.5 3.33009 -6.18706 6.40134 -2.12386 1300480.0
5200.0 3.5 3.41996 -6.38622 6.60409 -2.20729 1677890.0
5300.0 3.5 3.48499 -6.51442 6.80261 -2.335 2092040.0
5400.0 3.5 3.39069 -6.30415 6.61963 -2.28815 2179070.0
5500.0 3.5 3.58222 -6.67502 6.95702 -2.41453 1882710.0
5600.0 3.5 3.5995 -6.68432 6.96172 -2.42627 2260690.0
5700.0 3.5 3.73098 -6.95066 7.21105 -2.52175 2766530.0
5800.0 3.5 3.8461 -7.18162 7.43162 -2.60648 3697500.0
5900.0 3.5 3.86168 -7.18819 7.42384 -2.61029 4073390.0
6000.0 3.5 3.91018 -7.29169 7.53199 -2.65898 4651660.0
6100.0 3.5 3.95677 -7.3827 7.62591 -2.70177 5187630.0
6200.0 3.5 4.07018 -7.615 7.83931 -2.78077 5473910.0
6300.0 3.5 3.96497 -7.36302 7.5988 -2.70452 5373820.0
6400.0 3.5 4.01076 -7.45763 7.69386 -2.74582 5247720.0
6500.0 3.5 4.03818 -7.45828 7.66125 -2.73275 4552220.0
6600.0 3.5 4.13014 -7.64949 7.84441 -2.80264 4279840.0
6700.0 3.5 4.12626 -7.57551 7.7366 -2.76276 3527340.0
6800.0 3.5 4.10906 -7.47072 7.59352 -2.7074 3313950.0
6900.0 3.5 4.06801 -7.36888 7.49305 -2.67523 3439980.0
7000.0 3.5 3.90105 -6.95589 7.0808 -2.53541 3446650.0
7200.0 3.5 3.7236 -6.45954 6.54877 -2.34896 3861490.0
7400.0 3.5 3.59846 -6.03989 6.04819 -2.15829 4609650.0
7600.0 3.5 3.57979 -5.8041 5.66143 -1.9827 5636330.0
7800.0 3.5 3.78832 -5.85542 5.34212 -1.77311 6644380.0
8000.0 3.5 4.4587 -7.24877 6.58335 -2.17535 7608850.0
8200.0 3.5 4.95314 -8.08553 7.18805 -2.34952 8208850.0
8400.0 3.5 5.68632 -9.46881 8.31161 -2.69617 8905740.0
8600.0 3.5 6.31677 -10.65564 9.27087 -2.98938 9120290.0
8800.0 3.5 7.02495 -11.98463 10.35071 -3.31997 9295800.0
9000.0 3.5 7.66919 -13.18628 11.32378 -3.6169 9944450.0
9200.0 3.5 7.96062 -13.69176 11.69719 -3.72252 10688800.0
9400.0 3.5 8.44711 -14.60097 12.4357 -3.94904 11462100.0
9600.0 3.5 9.15898 -15.97831 13.59633 -4.31491 12061400.0
9800.0 3.5 9.40314 -16.38461 13.88167 -4.39101 12854700.0
10000.0 3.5 10.08453 -17.71474 15.0089 -4.74729 13714200.0
10200.0 3.5 10.58543 -18.66425 15.79081 -4.98899 14336100.0
10400.0 3.5 11.05292 -19.55535 16.52563 -5.21588 15125900.0
10600.0 3.5 11.46682 -20.3536 17.18842 -5.42161 16027800.0
10800.0 3.5 11.50669 -20.37257 17.14697 -5.39372 15912200.0
11000.0 3.5 11.5759 -20.44363 17.14598 -5.37724 15290100.0
11200.0 3.5 12.46886 -22.18706 18.6239 -5.84191 14536600.0
11400.0 3.5 11.61643 -20.55596 17.23102 -5.40098 16704900.0
11600.0 3.5 12.26875 -21.87351 18.37582 -5.76835 17354400.0
11800.0 3.5 12.87199 -22.89324 19.12433 -5.9729 16284400.0
12000.0 3.5 13.6759 -24.49288 20.50161 -6.41126 16906900.0
2300.0 4.0 -0.26004 1.17745 0.00344 0.00035 512.017
2400.0 4.0 -0.10717 1.04036 0.13294 -0.0814 631.188
2500.0 4.0 0.70978 -0.47669 1.44815 -0.55307 778.687
2600.0 4.0 0.96569 -0.73157 1.53204 -0.59455 692.638
2700.0 4.0 1.11085 -0.71029 1.28856 -0.49682 548.246
2900.0 4.0 1.91038 -2.11016 2.31649 -0.82207 5207.66
3100.0 4.0 2.10125 -2.48425 2.60804 -0.91895 18636100.0
3200.0 4.0 2.19729 -2.71281 2.83853 -1.00098 45512800.0
3300.0 4.0 2.16209 -2.69329 2.85468 -1.01029 71379600.0
3400.0 4.0 2.07258 -2.58052 2.77913 -0.98269 90289500.0
3500.0 4.0 2.02928 -2.56488 2.75832 -0.9596 103808000.0
3600.0 4.0 2.08012 -2.77442 2.94483 -0.99675 113811000.0
3700.0 4.0 1.9901 -2.69261 2.85438 -0.92385 121399000.0
3800.0 4.0 1.9167 -2.72063 2.90871 -0.8945 128601000.0
3900.0 4.0 1.84965 -2.77672 2.98243 -0.86868 133482000.0
4000.0 4.0 1.79015 -2.85747 3.11513 -0.87454 138758000.0
4100.0 4.0 1.77806 -3.0838 3.4566 -0.9869 141291000.0
4200.0 4.0 2.08816 -3.93085 4.3562 -1.3052 145828000.0
4300.0 4.0 2.12451 -4.00022 4.43235 -1.34393 147019000.0
4400.0 4.0 2.05731 -3.83888 4.30627 -1.32364 142599000.0
4500.0 4.0 2.02259 -3.75742 4.27123 -1.34447 129045000.0
4600.0 4.0 2.02908 -3.74883 4.28608 -1.37624 101622000.0
4700.0 4.0 2.03112 -3.7247 4.27803 -1.3971 65175200.0
4800.0 4.0 2.07888 -3.80391 4.35964 -1.44343 45547500.0
4900.0 4.0 2.10347 -3.84275 4.40594 -1.47707 40257000.0
5100.0 4.0 2.36796 -4.39383 4.99372 -1.74455 2163960.0
5200.0 4.0 2.40461 -4.46115 5.07008 -1.78888 2487460.0
5300.0 4.0 2.40985 -4.46358 5.08808 -1.81343 3005440.0
5400.0 4.0 2.375 -4.37213 5.00766 -1.79981 2524550.0
5500.0 4.0 2.39077 -4.36402 4.98255 -1.79793 2917490.0
5600.0 4.0 2.47703 -4.54301 5.16146 -1.87444 3594920.0
5700.0 4.0 2.43018 -4.42026 5.0421 -1.84266 4392080.0
5800.0 4.0 2.47327 -4.4968 5.11029 -1.87415 5391310.0
5900.0 4.0 2.50546 -4.55138 5.15697 -1.89696 6437200.0
6000.0 4.0 2.55996 -4.66768 5.27305 -1.94678 7400670.0
6100.0 4.0 2.58295 -4.71989 5.33355 -1.97683 8276620.0
6200.0 4.0 2.60688 -4.76581 5.37705 -1.99822 8954600.0
6300.0 4.0 2.60459 -4.74662 5.34963 -1.9922 9424300.0
6400.0 4.0 2.65837 -4.86822 5.47483 -2.04428 9362870.0
6500.0 4.0 2.68474 -4.90619 5.50011 -2.05489 9048470.0
6600.0 4.0 2.71969 -4.97784 5.5718 -2.08654 8264470.0
6700.0 4.0 2.75541 -5.03865 5.6214 -2.10636 7232670.0
6800.0 4.0 2.74694 -4.98627 5.55025 -2.08042 6308470.0
6900.0 4.0 2.73702 -4.93338 5.48358 -2.05847 5610200.0
7000.0 4.0 2.71192 -4.83963 5.37189 -2.01904 5123690.0
7200.0 4.0 2.71544 -4.74921 5.22055 -1.95987 4717070.0
7400.0 4.0 2.46727 -4.12409 4.58423 -1.74029 5211910.0
7600.0 4.0 2.30383 -3.35844 3.54723 -1.32478 5787340.0
7800.0 4.0 2.14129 -2.96719 3.19238 -1.21639 6708040.0
8000.0 4.0 2.30746 -3.16791 3.20601 -1.16295 7487770.0
8200.0 4.0 2.74134 -4.02642 3.87889 -1.34116 8112350.0
8400.0 4.0 3.28392 -5.17488 4.89832 -1.67107 8853790.0
8600.0 4.0 3.63597 -5.68563 5.17214 -1.7288 9260570.0
8800.0 4.0 4.08944 -6.53471 5.84763 -1.93288 8920660.0
9000.0 4.0 4.47314 -7.28635 6.47199 -2.12891 9933330.0
9200.0 4.0 4.72235 -7.75102 6.83511 -2.23727 10645000.0
9400.0 4.0 5.09439 -8.48193 7.45081 -2.43258 11329200.0
9600.0 4.0 5.37511 -9.01807 7.8892 -2.5686 12076200.0
9800.0 4.0 5.65718 -9.55851 8.33361 -2.707 12711400.0
10000.0 4.0 5.78692 -9.78599 8.49801 -2.75303 13661500.0
10200.0 4.0 6.03135 -10.2532 8.88034 -2.87155 14411700.0
10400.0 4.0 6.27427 -10.71555 9.2562 -2.98703 14975500.0
10600.0 4.0 6.36291 -10.86725 9.35837 -3.01355 16099400.0
10800.0 4.0 6.61329 -11.35196 9.75825 -3.13757 16113100.0
11000.0 4.0 6.925 -11.95554 10.25885 -3.29298 15478500.0
11200.0 4.0 7.45256 -13.00181 11.1548 -3.57809 14501200.0
11400.0 4.0 7.52243 -13.11643 11.22106 -3.59067 15159500.0
11600.0 4.0 7.30455 -12.76951 10.95967 -3.51646 17423900.0
11800.0 4.0 7.24284 -12.63058 10.81096 -3.4613 18097900.0
12000.0 4.0 7.32211 -12.79836 10.94867 -3.5033 18797000.0
2300.0 4.5 0.15444 0.36219 0.65679 -0.21369 875.565
2400.0 4.5 -0.15672 0.83153 0.42235 -0.15912 788.804
2500.0 4.5 0.288 0.20973 0.85544 -0.30646 954.139
2600.0 4.5 0.38805 0.09494 1.01025 -0.42837 1151.52
2700.0 4.5 0.55179 0.09736 0.81825 -0.3743 548.396
2900.0 4.5 1.14882 -0.63174 1.09114 -0.44107 5398.42
3100.0 4.5 1.63917 -1.46612 1.6521 -0.61156 17497700.0
3200.0 4.5 1.80739 -1.7821 1.89265 -0.68784 49381000.0
3300.0 4.5 1.8659 -1.90108 1.9815 -0.71587 82071900.0
3400.0 4.5 1.84285 -1.87461 1.95109 -0.7042 106530000.0
3500.0 4.5 1.85902 -1.96209 2.03826 -0.7329 124358000.0
3600.0 4.5 1.81383 -1.92417 2.00055 -0.71203 135139000.0
3700.0 4.5 1.79425 -1.95831 2.03763 -0.71201 142603000.0
3800.0 4.5 1.75653 -1.97964 2.07577 -0.70368 148251000.0
3900.0 4.5 1.66734 -1.95944 2.10348 -0.68465 152492000.0
4000.0 4.5 1.63504 -2.08319 2.27362 -0.70378 155516000.0
4100.0 4.5 1.41154 -1.83663 2.14133 -0.62397 159472000.0
4200.0 4.5 1.40109 -2.069 2.46697 -0.71411 160034000.0
4300.0 4.5 1.42329 -2.37024 2.9121 -0.87799 158448000.0
4400.0 4.5 1.62435 -3.03981 3.70132 -1.17745 149573000.0
4500.0 4.5 1.66613 -3.13019 3.79477 -1.21807 132653000.0
4600.0 4.5 1.65296 -3.09745 3.80811 -1.25644 102657000.0
4700.0 4.5 1.63863 -3.04217 3.78323 -1.27703 66129700.0
4800.0 4.5 1.66494 -3.078 3.83872 -1.32164 51227400.0
4900.0 4.5 1.68089 -3.08484 3.86174 -1.354 48199000.0
5100.0 4.5 1.80445 -3.30776 4.0916 -1.47479 3369520.0
5200.0 4.5 1.80848 -3.29755 4.09036 -1.49184 3938720.0
5300.0 4.5 1.80908 -3.28024 4.08088 -1.5049 4038570.0
5400.0 4.5 1.81808 -3.28083 4.08371 -1.51921 3533140.0
5500.0 4.5 1.79683 -3.20605 4.00213 -1.49917 4394690.0
5600.0 4.5 1.8073 -3.21252 4.01203 -1.51599 5445610.0
5700.0 4.5 1.80602 -3.18313 3.97525 -1.5113 6682740.0
5800.0 4.5 1.70539 -2.83419 3.58956 -1.39093 8126020.0
5900.0 4.5 1.69125 -2.79625 3.561 -1.39141 9973310.0
6000.0 4.5 1.73227 -2.84533 3.57804 -1.39991 11286600.0
6100.0 4.5 1.72042 -2.78261 3.49123 -1.36926 12706800.0
6200.0 4.5 1.75759 -2.86141 3.5713 -1.40695 14046900.0
6300.0 4.5 1.74488 -2.81428 3.5162 -1.39064 14932100.0
6400.0 4.5 1.76233 -2.84115 3.53366 -1.40115 15531300.0
6500.0 4.5 1.78357 -2.87963 3.56861 -1.41816 15159600.0
6600.0 4.5 1.7908 -2.86922 3.53724 -1.40581 14456600.0
6700.0 4.5 1.82696 -2.94508 3.61235 -1.43832 13082500.0
6800.0 4.5 1.82686 -2.92729 3.58504 -1.43041 11425200.0
6900.0 4.5 1.80918 -2.8553 3.49295 -1.39573 9297500.0
7000.0 4.5 1.81811 -2.87379 3.51823 -1.41224 8472250.0
7200.0 4.5 1.83643 -2.88305 3.51314 -1.41597 6823780.0
7400.0 4.5 1.86699 -2.72125 3.1319 -1.22546 6344360.0
7600.0 4.5 1.73563 -2.51141 3.04455 -1.23295 6748310.0
7800.0 4.5 1.56113 -2.01289 2.49499 -1.03394 7360940.0
8000.0 4.5 1.5464 -1.85119 2.24094 -0.92653 8124890.0
8200.0 4.5 1.66032 -1.96685 2.20988 -0.87417 8785900.0
8400.0 4.5 1.92073 -2.44332 2.51967 -0.92749 9530280.0
8600.0 4.5 2.31394 -3.25985 3.20005 -1.12679 10344200.0
8800.0 4.5 2.66316 -3.958 3.78648 -1.31451 10541100.0
9000.0 4.5 2.9137 -4.3544 4.01976 -1.36543 10735500.0
9200.0 4.5 3.15374 -4.82011 4.39376 -1.47985 11554400.0
9400.0 4.5 3.33414 -5.16453 4.66391 -1.56095 12384600.0
9600.0 4.5 3.52969 -5.53191 4.95507 -1.64939 13085300.0
9800.0 4.5 3.73201 -5.94708 5.30931 -1.76312 13953500.0
10000.0 4.5 3.91864 -6.31306 5.61276 -1.85881 14688400.0
10200.0 4.5 4.0186 -6.49678 5.75041 -1.89896 15794400.0
10400.0 4.5 4.22256 -6.9057 6.09906 -2.01115 16556800.0
10600.0 4.5 4.3788 -7.21023 6.34939 -2.08943 17260100.0
10800.0 4.5 4.44548 -7.3277 6.42888 -2.11023 18435300.0
11000.0 4.5 4.69046 -7.82286 6.85563 -2.24798 18206800.0
11200.0 4.5 4.86076 -8.14284 7.10834 -2.32332 17367800.0
11400.0 4.5 5.1087 -8.63083 7.51717 -2.45142 16712500.0
11600.0 4.5 5.34804 -9.12486 7.94741 -2.59058 17414500.0
11800.0 4.5 5.40754 -9.23753 8.02629 -2.61097 18100400.0
12000.0 4.5 5.59709 -9.63888 8.37887 -2.72542 18820100.0
2300.0 5.0 0.09835 0.47351 0.55695 -0.18426 1239.88
2400.0 5.0 0.38649 -0.37312 1.53527 -0.55713 1339.35
2500.0 5.0 -0.07761 0.61415 0.64227 -0.22719 1150.77
2600.0 5.0 -0.03275 0.82957 0.31693 -0.12243 1374.68
2700.0 5.0 0.14796 0.56652 0.6152 -0.30837 953.913
2900.0 5.0 0.60015 0.29291 0.4273 -0.24199 5438.15
3100.0 5.0 1.11377 -0.3996 0.72116 -0.3116 12967800.0
3200.0 5.0 1.35223 -0.80871 0.98571 -0.38763 46450800.0
3300.0 5.0 1.51728 -1.11281 1.19488 -0.4496 87184600.0
3400.0 5.0 1.60585 -1.29267 1.3186 -0.48577 119700000.0
3500.0 5.0 1.64419 -1.39221 1.38813 -0.50585 142786000.0
3600.0 5.0 1.65988 -1.46444 1.44576 -0.52209 155218000.0
3700.0 5.0 1.6457 -1.4743 1.45053 -0.5186 162546000.0
3800.0 5.0 1.64093 -1.53532 1.51687 -0.53375 165359000.0
3900.0 5.0 1.60194 -1.53348 1.54129 -0.53074 167081000.0
4000.0 5.0 1.53679 -1.54811 1.61955 -0.54474 165118000.0
4100.0 5.0 1.40052 -1.43765 1.60082 -0.51877 164400000.0
4200.0 5.0 1.2728 -1.36006 1.61781 -0.49843 161712000.0
4300.0 5.0 1.12196 -1.25112 1.63401 -0.48295 160495000.0
4400.0 5.0 1.06466 -1.41469 1.94716 -0.59136 144287000.0
4500.0 5.0 1.1211 -1.76782 2.45866 -0.7925 134524000.0
4600.0 5.0 1.27293 -2.3222 3.15292 -1.07018 104068000.0
4700.0 5.0 1.35581 -2.52815 3.38075 -1.16575 72443000.0
4800.0 5.0 1.34993 -2.48908 3.34797 -1.16877 58474300.0
4900.0 5.0 1.35369 -2.47565 3.36077 -1.20046 64078500.0
5100.0 5.0 1.42977 -2.59041 3.49541 -1.29404 5324820.0
5200.0 5.0 1.43164 -2.56903 3.48189 -1.3078 6277190.0
5300.0 5.0 1.42018 -2.52343 3.44658 -1.31344 6321750.0
5400.0 5.0 1.39833 -2.46131 3.39287 -1.30976 5353600.0
5500.0 5.0 1.38771 -2.4061 3.33084 -1.29804 7215350.0
5600.0 5.0 1.29376 -2.07968 2.98472 -1.20116 8841620.0
5700.0 5.0 1.28434 -2.02536 2.92161 -1.18921 10719100.0
5800.0 5.0 1.26437 -1.93736 2.81241 -1.15538 13025900.0
5900.0 5.0 1.26642 -1.91392 2.77798 -1.1512 15689700.0
6000.0 5.0 1.26166 -1.8752 2.72288 -1.13595 18394600.0
6100.0 5.0 1.24312 -1.81471 2.6547 -1.11565 20855600.0
6200.0 5.0 1.25401 -1.8193 2.64824 -1.11901 22900300.0
6300.0 5.0 1.2448 -1.7784 2.591 -1.10204 25233000.0
6400.0 5.0 1.28098 -1.84359 2.64191 -1.1224 26162600.0
6500.0 5.0 1.28869 -1.84729 2.63448 -1.12191 26630200.0
6600.0 5.0 1.28997 -1.8383 2.61828 -1.11949 26408300.0
6700.0 5.0 1.29821 -1.84724 2.61975 -1.12239 24876300.0
6800.0 5.0 1.29667 -1.83057 2.59477 -1.11532 22234300.0
6900.0 5.0 1.29993 -1.82196 2.57419 -1.10827 19301100.0
7000.0 5.0 1.30727 -1.83019 2.58002 -1.11434 16505400.0
7200.0 5.0 1.32766 -1.85799 2.59868 -1.12714 11226100.0
7400.0 5.0 1.28465 -1.71402 2.42878 -1.06655 9659150.0
7600.0 5.0 1.23676 -1.5475 2.22873 -0.99342 9116750.0
7800.0 5.0 1.2473 -1.5142 2.15514 -0.96387 9395250.0
8000.0 5.0 1.23614 -1.40846 1.97867 -0.88373 10095200.0
8200.0 5.0 1.13149 -1.08405 1.58084 -0.72377 10922000.0
8400.0 5.0 1.13828 -0.98106 1.37236 -0.62432 11782200.0
8600.0 5.0 1.28395 -1.21117 1.47004 -0.61758 12783400.0
8800.0 5.0 1.52487 -1.68661 1.80371 -0.68447 13776700.0
9000.0 5.0 1.78459 -2.24251 2.27147 -0.82269 13831500.0
9200.0 5.0 2.02023 -2.71735 2.66563 -0.948 14305300.0
9400.0 5.0 2.15211 -2.92007 2.76599 -0.96423 15367500.0
9600.0 5.0 2.30003 -3.20989 2.99502 -1.03349 16357600.0
9800.0 5.0 2.44659 -3.50702 3.24137 -1.11128 17534400.0
10000.0 5.0 2.5842 -3.78291 3.46877 -1.18269 18403100.0
10200.0 5.0 2.70531 -4.02413 3.66638 -1.24453 19396100.0
10400.0 5.0 2.80413 -4.22235 3.82916 -1.29599 20842100.0
10600.0 5.0 2.88706 -4.38191 3.95343 -1.33355 21887700.0
10800.0 5.0 2.99131 -4.58871 4.12322 -1.38696 22632500.0
11000.0 5.0 3.06284 -4.73063 4.23618 -1.4218 24331300.0
11200.0 5.0 3.19475 -4.9994 4.46486 -1.49528 24206000.0
11400.0 5.0 3.33113 -5.271 4.69135 -1.56647 23263300.0
11600.0 5.0 3.20736 -5.04699 4.49104 -1.49968 24508800.0
11800.0 5.0 3.26952 -5.17969 4.60114 -1.53445 25396800.0
12000.0 5.0 3.29328 -5.22928 4.63252 -1.5417 26335000.0
2300.0 5.5 0.69966 -0.63561 1.47095 -0.51956 1772.08
2400.0 5.5 0.15844 0.40935 0.64896 -0.24939 1893.39
2500.0 5.5 0.03514 0.51254 0.59243 -0.18578 1585.41
2600.0 5.5 0.20687 -0.08685 1.32436 -0.45575 1563.43
2700.0 5.5 0.27334 -0.00703 1.22009 -0.46356 1786.48
2900.0 5.5 0.30933 0.50758 0.50344 -0.29099 5044.46
3100.0 5.5 0.65443 0.39776 0.14805 -0.14642 8096130.0
3200.0 5.5 0.88969 0.09133 0.24214 -0.155 36720200.0
3300.0 5.5 1.13026 -0.3008 0.4591 -0.20739 81692400.0
3400.0 5.5 1.32332 -0.66349 0.70382 -0.27649 122372000.0
3500.0 5.5 1.4388 -0.90176 0.86681 -0.32186 151372000.0
3600.0 5.5 1.49819 -1.04364 0.9641 -0.34782 165805000.0
3700.0 5.5 1.52269 -1.13246 1.03282 -0.36701 171750000.0
3800.0 5.5 1.53473 -1.20071 1.09039 -0.38128 172211000.0
3900.0 5.5 1.53225 -1.27155 1.17772 -0.40871 167460000.0
4000.0 5.5 1.48542 -1.26006 1.2091 -0.41741 161933000.0
4100.0 5.5 1.43067 -1.25687 1.27274 -0.4366 154383000.0
4200.0 5.5 1.20815 -0.96638 1.10267 -0.37504 131702000.0
4300.0 5.5 1.19196 -1.03108 1.23267 -0.39983 137930000.0
4400.0 5.5 1.09193 -1.02699 1.34188 -0.42239 124115000.0
4500.0 5.5 0.96777 -0.96015 1.41195 -0.43989 112126000.0
