Teff log(g) a1 a2 a3 a4 I1
4100.0 3.5 3.50757 -6.30496 6.25734 -2.01902 303500000.0
4200.0 3.5 3.45876 -6.16253 6.1064 -1.98013 288805000.0
4300.0 3.5 3.35608 -5.94043 5.90621 -1.92825 269704000.0
4400.0 3.5 3.34617 -5.9209 5.8961 -1.93968 243343000.0
4500.0 3.5 3.39108 -6.00489 5.97284 -1.97734 204677000.0
4600.0 3.5 3.28174 -5.73985 5.71038 -1.89484 149347000.0
4700.0 3.5 3.40163 -5.97327 5.91232 -1.96952 77672900.0
4800.0 3.5 3.45274 -6.05258 5.96294 -1.98941 26660100.0
4900.0 3.5 3.46121 -6.03692 5.92052 -1.97534 9862620.0
5100.0 3.5 3.72802 -6.54179 6.31291 -2.09717 380023.0
5200.0 3.5 3.82877 -6.75888 6.50541 -2.16403 391955.0
5300.0 3.5 3.97815 -7.08417 6.84239 -2.30652 426188.0
5400.0 3.5 3.87933 -6.88489 6.66397 -2.25291 456734.0
5500.0 3.5 4.1148 -7.36668 7.09179 -2.39804 469967.0
5600.0 3.5 4.13172 -7.39097 7.10262 -2.40305 518877.0
5700.0 3.5 4.27287 -7.69341 7.37824 -2.49885 564737.0
5800.0 3.5 4.39676 -7.94254 7.59844 -2.57317 619499.0
5900.0 3.5 4.40206 -7.95335 7.5995 -2.57595 693356.0
6000.0 3.5 4.42204 -7.9989 7.63946 -2.59189 758028.0
6100.0 3.5 4.47447 -8.10795 7.73781 -2.62748 846597.0
6200.0 3.5 4.59669 -8.36922 7.97024 -2.70596 925466.0
6300.0 3.5 4.51051 -8.16998 7.77499 -2.64013 1049060.0
6400.0 3.5 4.53609 -8.21758 7.80711 -2.64998 1134520.0
6500.0 3.5 4.63465 -8.39575 7.94645 -2.69382 1252830.0
6600.0 3.5 4.7135 -8.55193 8.07636 -2.73571 1358140.0
6700.0 3.5 4.70497 -8.48101 7.96932 -2.69225 1499280.0
6800.0 3.5 4.72786 -8.49265 7.9497 -2.68122 1639800.0
6900.0 3.5 4.73374 -8.50693 7.96126 -2.68667 1736920.0
7000.0 3.5 4.60529 -8.2078 7.66416 -2.5843 1899000.0
7200.0 3.5 4.43014 -7.77821 7.21836 -2.42745 2283820.0
7400.0 3.5 4.31051 -7.4466 6.84605 -2.29093 2770120.0
7600.0 3.5 4.25609 -7.23502 6.5634 -2.17752 3315840.0
7800.0 3.5 4.41314 -7.41299 6.6002 -2.17035 3825400.0
8000.0 3.5 4.65534 -7.85182 6.91461 -2.24676 4234110.0
8200.0 3.5 5.03673 -8.57162 7.49165 -2.4238 4461240.0
8400.0 3.5 5.40417 -9.27518 8.06084 -2.59773 4704800.0
8600.0 3.5 5.76555 -9.96741 8.62259 -2.76872 4694090.0
8800.0 3.5 6.18692 -10.76117 9.26624 -2.96428 4691540.0
9000.0 3.5 6.71088 -11.7723 10.11426 -3.22975 4934220.0
9200.0 3.5 6.99224 -12.29822 10.54057 -3.35982 5225070.0
9400.0 3.5 7.12059 -12.49502 10.666 -3.38962 5527060.0
9600.0 3.5 7.42738 -13.06134 11.12485 -3.52994 5751010.0
9800.0 3.5 7.99499 -14.16417 12.0645 -3.82879 6073870.0
10000.0 3.5 8.05765 -14.22583 12.06955 -3.81925 6423610.0
10200.0 3.5 8.66187 -15.39985 13.06927 -4.13683 6663480.0
10400.0 3.5 9.005 -16.03914 13.59014 -4.29655 6990800.0
10600.0 3.5 9.00665 -15.98575 13.49631 -4.25521 7362520.0
10800.0 3.5 9.3546 -16.64078 14.03146 -4.41905 7278720.0
11000.0 3.5 10.12971 -18.16532 15.33545 -4.8328 6966250.0
11200.0 3.5 10.61544 -19.08599 16.09317 -5.06541 6600730.0
11400.0 3.5 9.82018 -17.55981 14.78308 -4.64809 7564750.0
11600.0 3.5 9.99145 -17.89522 15.0575 -4.73165 7834190.0
11800.0 3.5 11.00765 -19.78045 16.59443 -5.19899 7316980.0
12000.0 3.5 10.78618 -19.29921 16.13258 -5.0388 7572890.0
2300.0 4.0 1.34996 -2.51611 3.33086 -1.18648 445.537
2400.0 4.0 0.87395 -0.97524 1.63705 -0.52586 448.914
2500.0 4.0 1.26733 -1.74511 2.44829 -0.83933 487.784
2600.0 4.0 1.14983 -1.21595 1.91069 -0.69175 494.195
2700.0 4.0 1.39437 -1.46301 2.0056 -0.73799 991.418
2900.0 4.0 1.96304 -2.31407 2.48428 -0.87218 52692.4
3100.0 4.0 2.07599 -2.62957 2.76529 -0.9651 90882500.0
