Teff log(g) a1 a2 a3 a4 I1 beaming
16500.0 5.25 0.6094 -0.6602 0.6577 -0.2496 0.000123374 1.4294
17000.0 5.25 0.6189 -0.6949 0.6936 -0.2627 0.000128076 1.4484
20000.0 5.25 0.6531 -0.8312 0.8325 -0.3126 0.000157448 1.5404
25000.0 5.25 0.8556 -1.2955 1.2602 -0.4582 0.000212673 1.6409
30000.0 5.25 0.8381 -1.1714 1.0689 -0.3756 0.000288325 1.7055
35000.0 5.25 0.7193 -1.0499 0.9907 -0.3576 0.000379827 1.7505
40000.0 5.25 0.7771 -1.3122 1.2934 -0.4749 0.000450945 1.7837
45000.0 5.25 0.8683 -1.5916 1.5889 -0.5841 0.000510182 1.809
50000.0 5.25 0.9608 -1.8427 1.8443 -0.6766 0.000564862 1.8291
55000.0 5.25 1.0439 -2.0506 2.0492 -0.7494 0.00061552 1.8454
60000.0 5.25 1.118 -2.2248 2.2166 -0.8081 0.000664533 1.8588
3750.0 5.5 1.8685 -2.8727 2.5168 -0.8603 4.48143e-06 -1.382
4000.0 5.5 1.7239 -2.6232 2.2979 -0.7867 5.42608e-06 -1.1253
4250.0 5.5 1.6728 -2.5285 2.2154 -0.7591 6.61738e-06 -0.9012
4500.0 5.5 1.6021 -2.2787 1.9256 -0.6442 8.07517e-06 -0.7042
4750.0 5.5 1.4074 -1.7054 1.3084 -0.41 9.78857e-06 -0.5299
5000.0 5.5 1.0458 -0.704 0.283 -0.034 1.19168e-05 -0.3747
5250.0 5.5 0.5867 0.4789 -0.8774 0.3758 1.39589e-05 -0.236
5500.0 5.5 0.1599 1.4829 -1.7923 0.6771 1.61159e-05 -0.1113
5750.0 5.5 -0.0828 1.9407 -2.1084 0.7503 1.83734e-05 0.0013
6000.0 5.5 -0.1587 1.9497 -1.9641 0.6579 2.07303e-05 0.1033
6250.0 5.5 -0.1442 1.7373 -1.6139 0.4985 2.31851e-05 0.1962
6500.0 5.5 -0.0938 1.4553 -1.2158 0.3287 2.57357e-05 0.281
7000.0 5.5 0.0456 0.8925 -0.5101 0.0452 3.11428e-05 0.4301
7500.0 5.5 0.1424 0.5686 -0.147 -0.0939 3.69873e-05 0.5568
8000.0 5.5 0.1784 0.4857 -0.0928 -0.1101 4.32301e-05 0.6656
8500.0 5.5 0.2071 0.4816 -0.1747 -0.062 4.97208e-05 0.7599
9000.0 5.5 0.3284 0.217 -0.0036 -0.0945 5.60438e-05 0.8423
9500.0 5.5 0.5042 -0.2578 0.4035 -0.2086 6.11477e-05 0.9148
10000.0 5.5 0.5777 -0.4344 0.4847 -0.2018 6.45775e-05 0.9792
10500.0 5.5 0.5716 -0.4154 0.4331 -0.1725 6.86826e-05 1.0366
11000.0 5.5 0.5769 -0.4338 0.4419 -0.1741 7.318e-05 1.0881
11500.0 5.5 0.5788 -0.4451 0.4438 -0.1731 7.76955e-05 1.1346
12000.0 5.5 0.5829 -0.4679 0.461 -0.1779 8.21865e-05 1.1767
12500.0 5.5 0.5833 -0.4856 0.4771 -0.1833 8.66982e-05 1.215
13000.0 5.5 0.582 -0.4998 0.4913 -0.1883 9.1223e-05 1.2499
13500.0 5.5 0.5841 -0.5233 0.517 -0.1982 9.57101e-05 1.282
14000.0 5.5 0.5805 -0.5317 0.5265 -0.2017 0.000100237 1.3115
14500.0 5.5 0.5805 -0.5484 0.545 -0.2086 0.000104777 1.3388
15000.0 5.5 0.5808 -0.565 0.5634 -0.2156 0.000109334 1.364
15500.0 5.5 0.5811 -0.5805 0.5807 -0.2221 0.000113926 1.3874
16000.0 5.5 0.5537 -0.528 0.5276 -0.2025 0.000118554 1.4091
16500.0 5.5 0.5835 -0.6128 0.6158 -0.2351 0.000123208 1.4294
17000.0 5.5 0.5862 -0.6307 0.6343 -0.2418 0.00012792 1.4484
20000.0 5.5 0.6423 -0.8177 0.8239 -0.3102 0.000157249 1.5404
25000.0 5.5 0.8265 -1.2377 1.2054 -0.4388 0.00021231 1.6409
30000.0 5.5 0.7827 -1.053 0.9522 -0.3334 0.000286973 1.7055
35000.0 5.5 0.6244 -0.8414 0.7843 -0.2829 0.000377084 1.7505
40000.0 5.5 0.6512 -1.0395 1.0256 -0.3784 0.000447403 1.7837
45000.0 5.5 0.7233 -1.2839 1.2897 -0.477 0.000505658 1.809
50000.0 5.5 0.8018 -1.5109 1.5242 -0.5625 0.000559163 1.8291
55000.0 5.5 0.8753 -1.7053 1.7185 -0.6321 0.000608363 1.8454
60000.0 5.5 0.943 -1.8732 1.8826 -0.6901 0.000655774 1.8588
