Teff log(g) a1 a2 a3 a4 I1 beaming
17000.0 5.25 0.7094 -0.1253 0.0485 -0.0294 0.000317509 0.8727
20000.0 5.25 0.7304 -0.2832 0.2047 -0.0834 0.000414041 1.0708
25000.0 5.25 0.8881 -0.7768 0.6966 -0.2581 0.000604784 1.284
30000.0 5.25 1.0185 -1.124 0.9869 -0.3482 0.000869349 1.419
35000.0 5.25 0.9725 -1.1591 1.0036 -0.3487 0.00117297 1.5118
40000.0 5.25 0.996 -1.3329 1.2042 -0.427 0.00141407 1.5793
45000.0 5.25 1.0603 -1.5588 1.451 -0.5203 0.00161807 1.6305
50000.0 5.25 1.1355 -1.7818 1.6855 -0.6071 0.00180794 1.6707
55000.0 5.25 1.2085 -1.9778 1.8855 -0.6797 0.00198539 1.7031
60000.0 5.25 1.2759 -2.1452 2.0514 -0.7389 0.00215857 1.7297
3750.0 5.5 0.5071 1.1781 -1.678 0.6798 9.26516e-07 -4.9907
4000.0 5.5 1.006 -0.1047 -0.3773 0.209 1.29642e-06 -4.493
4250.0 5.5 1.2883 -0.8591 0.4213 -0.0889 1.84718e-06 -4.0544
4500.0 5.5 1.433 -1.1951 0.7742 -0.2197 2.63718e-06 -3.6653
4750.0 5.5 1.3657 -0.9877 0.5785 -0.1495 3.72551e-06 -3.3179
5000.0 5.5 1.022 -0.097 -0.2616 0.1469 5.30098e-06 -3.006
5250.0 5.5 0.5962 0.9675 -1.2551 0.4877 7.14092e-06 -2.7248
5500.0 5.5 0.1573 2.0323 -2.2367 0.8144 9.30569e-06 -2.47
5750.0 5.5 -0.1471 2.6916 -2.7773 0.9722 1.17914e-05 -2.2382
6000.0 5.5 -0.2928 2.8938 -2.8281 0.9478 1.46194e-05 -2.0266
6250.0 5.5 -0.3305 2.7947 -2.5625 0.8082 1.78199e-05 -1.8329
6500.0 5.5 -0.3168 2.5697 -2.1778 0.6284 2.1417e-05 -1.6549
7000.0 5.5 -0.2146 2.0209 -1.3877 0.2804 2.99303e-05 -1.3394
7500.0 5.5 -0.1678 1.8239 -1.1141 0.1506 4.04667e-05 -1.069
8000.0 5.5 -0.2297 2.1361 -1.539 0.3118 5.33233e-05 -0.8351
8500.0 5.5 -0.2899 2.6379 -2.3378 0.6592 6.85847e-05 -0.6312
9000.0 5.5 -0.1623 2.603 -2.5897 0.8235 8.59915e-05 -0.4521
9500.0 5.5 0.1008 1.897 -1.9367 0.6279 0.00010454 -0.2939
10000.0 5.5 0.3969 0.8683 -0.7915 0.2345 0.00012129 -0.1532
10500.0 5.5 0.5134 0.5313 -0.4357 0.103 0.000135995 -0.0275
11000.0 5.5 0.5845 0.3941 -0.3615 0.0905 0.000149816 0.0854
11500.0 5.5 0.6397 0.2645 -0.2711 0.0674 0.000163359 0.1873
