log(g) Teff a1 a2 a3 a4 I1 beaming
5.25 16500.0 0.6027 -0.526 0.5467 -0.2173 0.000153897 1.323
5.25 17000.0 0.615 -0.5682 0.5891 -0.2326 0.000160258 1.3458
5.25 20000.0 0.6526 -0.7139 0.728 -0.2804 0.000200144 1.4563
5.25 25000.0 0.8713 -1.2305 1.2038 -0.4421 0.000275715 1.5765
5.25 30000.0 0.874 -1.1545 1.0446 -0.3667 0.000379519 1.6535
5.25 35000.0 0.7517 -1.0201 0.9405 -0.3366 0.000503355 1.7069
5.25 40000.0 0.8027 -1.2708 1.2327 -0.4505 0.000599567 1.7462
5.25 45000.0 0.8925 -1.5528 1.5337 -0.5625 0.000679788 1.7762
5.25 50000.0 0.9861 -1.8117 1.7994 -0.6592 0.000753886 1.7999
5.25 55000.0 1.0717 -2.0296 2.0162 -0.7367 0.000822638 1.819
5.25 60000.0 1.149 -2.2138 2.1948 -0.7996 0.00088927 1.8348
5.5 3750.0 1.8157 -2.5566 2.152 -0.7191 3.58047e-06 -2.0559
5.5 4000.0 1.7664 -2.5499 2.1895 -0.7419 4.44816e-06 -1.7515
5.5 4250.0 1.7407 -2.5267 2.1854 -0.7444 5.58345e-06 -1.485
5.5 4500.0 1.678 -2.2999 1.9229 -0.6402 7.01517e-06 -1.2501
5.5 4750.0 1.4747 -1.7086 1.2913 -0.4015 8.7453e-06 -1.0418
5.5 5000.0 1.0869 -0.6496 0.2172 -0.0095 1.09573e-05 -0.8561
5.5 5250.0 0.5983 0.595 -0.9927 0.4155 1.31365e-05 -0.6896
5.5 5500.0 0.146 1.6511 -1.9482 0.7286 1.54874e-05 -0.5397
5.5 5750.0 -0.1118 2.1331 -2.2758 0.8025 1.79917e-05 -0.4042
5.5 6000.0 -0.1929 2.1398 -2.1168 0.7018 2.06487e-05 -0.2812
5.5 6250.0 -0.1768 1.9075 -1.7338 0.5275 2.3459e-05 -0.1692
5.5 6500.0 -0.1225 1.6007 -1.2988 0.3417 2.64246e-05 -0.0668
5.5 7000.0 0.0252 0.9951 -0.5313 0.0315 3.28624e-05 0.1135
5.5 7500.0 0.1228 0.661 -0.1445 -0.1209 4.00546e-05 0.2669
5.5 8000.0 0.1513 0.6016 -0.1038 -0.138 4.79964e-05 0.3987
5.5 8500.0 0.1654 0.6523 -0.2388 -0.0754 5.64909e-05 0.5129
5.5 9000.0 0.2786 0.425 -0.1041 -0.0973 6.49687e-05 0.6128
5.5 9500.0 0.4658 -0.0752 0.3313 -0.2206 7.20564e-05 0.7008
5.5 10000.0 0.559 -0.2881 0.4252 -0.2055 7.67828e-05 0.7788
5.5 10500.0 0.5511 -0.245 0.3293 -0.1533 8.22517e-05 0.8483
5.5 11000.0 0.5547 -0.245 0.3066 -0.1411 8.80999e-05 0.9107
5.5 11500.0 0.558 -0.2523 0.2942 -0.1327 9.39206e-05 0.967
5.5 12000.0 0.5659 -0.2828 0.3123 -0.1361 9.97206e-05 1.0179
5.5 12500.0 0.5706 -0.3123 0.3359 -0.1429 0.000105575 1.0642
5.5 13000.0 0.5734 -0.3395 0.3609 -0.1512 0.00011149 1.1065
5.5 13500.0 0.579 -0.3736 0.3948 -0.1633 0.000117421 1.1452
5.5 14000.0 0.5776 -0.3899 0.411 -0.169 0.000123429 1.1809
5.5 14500.0 0.5802 -0.4145 0.4358 -0.1778 0.000129488 1.2137
5.5 15000.0 0.5816 -0.4347 0.4559 -0.1849 0.000135595 1.2441
