Teff R M
24789.0 0.12308031709146171 0.18687
24789.0 0.122206303135164 0.18687
24788.0 0.1212882155207913 0.18687
24787.0 0.12064479962364998 0.18687
24785.0 0.11988741786074335 0.18687
24782.0 0.11899908072329267 0.18687
24780.0 0.11825475331000464 0.18687
24776.0 0.11738121659827604 0.18687
24771.0 0.11591605878639648 0.18687
24761.0 0.11512074897316181 0.18687
24752.0 0.11439146090517104 0.18687
24759.0 0.11365239876621593 0.18687
24750.0 0.11269991965902668 0.18687
24738.0 0.11178888036568345 0.18687
24726.0 0.11092989615913251 0.18687
24716.0 0.11022842611974606 0.18687
24703.0 0.1094104001635132 0.18687
24690.0 0.10859844493230687 0.18687
24676.0 0.10779499741709646 0.18687
24662.0 0.10699503039458406 0.18687
24646.0 0.10620589092775025 0.18687
24636.0 0.10564491704964216 0.18687
24622.0 0.1049853272831071 0.18687
24605.0 0.10421700937750887 0.18687
24593.0 0.10366773417819877 0.18687
24577.0 0.10301930281256742 0.18687
24558.0 0.1022594862360845 0.18687
24542.0 0.10161986332125506 0.18687
24521.0 0.10086920697326655 0.18687
24499.0 0.10011256910396588 0.18687
24479.0 0.09942225437820496 0.18687
24455.0 0.09867647035777805 0.18687
24430.0 0.09793515306937853 0.18687
24410.0 0.09736180269630097 0.18687
24388.0 0.09677063847349864 0.18687
24369.0 0.09628055974192438 0.18687
24342.0 0.09560125785266668 0.18687
24304.0 0.09464956153877868 0.18687
24278.0 0.09404129618709427 0.18687
24247.0 0.0933240561811597 0.18687
24208.0 0.0924748438065387 0.18687
24160.0 0.09147735660833235 0.18687
24100.0 0.09029082192245666 0.18687
24021.0 0.08885944705830466 0.18687
23916.0 0.08712616663950411 0.18687
23794.0 0.08531071983221396 0.18687
23763.0 0.08485425141215931 0.18687
23724.0 0.08434485703777982 0.18687
23646.0 0.0839524947879719 0.18687
23604.0 0.0834840686340893 0.18687
23569.0 0.08309571066962299 0.18687
23522.0 0.0825854627202378 0.18687
23483.0 0.08217668283707129 0.18687
23437.0 0.08170969820774376 0.18687
23386.0 0.08120515627166025 0.18687
23342.0 0.08078274500460782 0.18687
23286.0 0.08027098763196307 0.18687
23239.0 0.07982034608181575 0.18687
23198.0 0.07945360490471315 0.18687
23143.0 0.07896390301847159 0.18687
23102.0 0.07860200177358581 0.18687
23058.0 0.07822374540961714 0.18687
23007.0 0.07775325990777938 0.18687
22959.0 0.07733722886532653 0.18687
22906.0 0.07690217207106796 0.18687
22859.0 0.07654002618219635 0.18687
22805.0 0.07617695459793607 0.18687
22755.0 0.07581647812700507 0.18687
22659.0 0.07546639535415878 0.18687
22613.0 0.07509112423231204 0.18687
22552.0 0.07459480902921826 0.18687
22504.0 0.07421361833894091 0.18687
22458.0 0.07388029254396447 0.18687
22404.0 0.07351544771224357 0.18687
22348.0 0.07313893067268494 0.18687
22292.0 0.07276350427882443 0.18687
22238.0 0.07238833814825126 0.18687
22184.0 0.07201842285594237 0.18687
22127.0 0.07164132449835256 0.18687
22060.0 0.0711948544428882 0.18687
22009.0 0.07085876952270273 0.18687
21942.0 0.0704333923852038 0.18687
21877.0 0.07002749746038875 0.18687
21822.0 0.06969291124447209 0.18687
21766.0 0.06933357698619086 0.18687
21703.0 0.06894433809014582 0.18687
21633.0 0.06853124259778208 0.18687
21575.0 0.06819752386385532 0.18687
21514.0 0.06785214889765773 0.18687
21452.0 0.06750774580915657 0.18687
21389.0 0.06716509083754339 0.18687
21326.0 0.06682494445592427 0.18687
21262.0 0.06648575523887755 0.18687
21197.0 0.06614828767421518 0.18687
21133.0 0.06581329072234464 0.18687
21068.0 0.06548149805642486 0.18687
21006.0 0.0651686322902357 0.18687
20945.0 0.06482963947498023 0.18687
20887.0 0.06450057800199317 0.18687
20817.0 0.06415250311785142 0.18687
20739.0 0.06379161635271123 0.18687
20657.0 0.06341377486746042 0.18687
20571.0 0.06301712801332485 0.18687
20482.0 0.06262440410940043 0.18687
20410.0 0.062303666686543496 0.18687
20347.0 0.06202740417131243 0.18687
20255.0 0.06164510639064172 0.18687
20176.0 0.061308205781939254 0.18687
20094.0 0.06096893466000514 0.18687
20012.0 0.06064689998357077 0.18687
19940.0 0.060357828461435094 0.18687
19866.0 0.06007359280397764 0.18687
19775.0 0.05973152549896944 0.18687
19679.0 0.05938183398008172 0.18687
19578.0 0.05901108590146909 0.18687
19496.0 0.05868993201646544 0.18687
19400.0 0.058316118051787394 0.18687
19294.0 0.058016778019020096 0.18687
19209.0 0.05773093701208173 0.18687
19121.0 0.057429972252263296 0.18687
19048.0 0.057181903259372946 0.18687
18950.0 0.05684844718682175 0.18687
18852.0 0.05651368237951181 0.18687
18716.0 0.056054257785355 0.18687
18594.0 0.055653003371172106 0.18687
18517.0 0.05540304140992129 0.18687
18390.0 0.054999482916612205 0.18687
18310.0 0.0547474135459918 0.18687
18182.0 0.05434299956459989 0.18687
18102.0 0.05408895693117317 0.18687
17969.0 0.05367457402467833 0.18687
17895.0 0.053450110384894924 0.18687
17789.0 0.05311578526102903 0.18687
17702.0 0.05283523050284794 0.18687
17621.0 0.05261064260408872 0.18687
17545.0 0.0523888187805953 0.18687
17440.0 0.05207851673417671 0.18687
17338.0 0.05180880873376419 0.18687
17267.0 0.05159036570636299 0.18687
17160.0 0.05132377666131928 0.18687
17075.0 0.05109031806953842 0.18687
16974.0 0.05083040926217156 0.18687
16885.0 0.050595699723308525 0.18687
16790.0 0.050347580672072505 0.18687
16707.0 0.05013183556005626 0.18687
16613.0 0.04988599127795511 0.18687
16519.0 0.04964535338678902 0.18687
16431.0 0.049414978011306544 0.18687
16350.0 0.049202096274630965 0.18687
16269.0 0.048990695664123084 0.18687
16181.0 0.04876335817654715 0.18687
16097.0 0.04855216567684325 0.18687
16021.0 0.0483535769454781 0.18687
15909.0 0.048067175873129475 0.18687
15815.0 0.04783641296662847 0.18687
15740.0 0.04764130030435924 0.18687
15652.0 0.04741694902036984 0.18687
15549.0 0.04716703824016795 0.18687
15462.0 0.04696492211437276 0.18687
15372.0 0.04673622241839665 0.18687
15268.0 0.04656703713185158 0.18687
15183.0 0.04638404362241943 0.18687
15103.0 0.04619219569529549 0.18687
15020.0 0.046002200493384424 0.18687
14937.0 0.045817206495639716 0.18687
14844.0 0.04561562255751268 0.18687
14763.0 0.045437937145633864 0.18687
14682.0 0.045262507151983336 0.18687
14594.0 0.04505247003130508 0.18687
14514.0 0.044875428284451575 0.18687
14433.0 0.04469393637904118 0.18687
14356.0 0.04451471594755438 0.18687
14275.0 0.044327537558085196 0.18687
14179.0 0.044113712296016544 0.18687
14100.0 0.04393631269544366 0.18687
14014.0 0.04373998265151504 0.18687
13929.0 0.04355205043447043 0.18687
13855.0 0.04338390160529497 0.18687
13778.0 0.043215904432632346 0.18687
13702.0 0.04305103594748039 0.18687
13619.0 0.0428680379438598 0.18687
13541.0 0.0427084299784565 0.18687
13458.0 0.042517097247084024 0.18687
13367.0 0.042324672513630875 0.18687
13283.0 0.04214670296205055 0.18687
13197.0 0.04196803219896972 0.18687
13117.0 0.04179589278453905 0.18687
13038.0 0.04164411206001043 0.18687
12958.0 0.04149192712540502 0.18687
12868.0 0.04132316776836559 0.18687
12780.0 0.04117262971259719 0.18687
12692.0 0.04102830793747233 0.18687
12605.0 0.04089814463338919 0.18687
12514.0 0.04076745555938995 0.18687
12417.0 0.04064560632363934 0.18687
12310.0 0.04053065352429203 0.18687
12195.0 0.04042952197831144 0.18687
12081.0 0.04033607226920983 0.18687
11974.0 0.040235426239781096 0.18687
11867.0 0.040150282601582245 0.18687
11758.0 0.04006485787253263 0.18687
11653.0 0.039977313549844844 0.18687
11539.0 0.03987664448614403 0.18687
11425.0 0.039758373242069524 0.18687
11308.0 0.03962539518244161 0.18687
11214.0 0.03951924204106273 0.18687
11113.0 0.039392052172398835 0.18687
11016.0 0.03926075133403379 0.18687
10927.0 0.03913529451240159 0.18687
10827.0 0.03899138002226019 0.18687
10718.0 0.03882787353682986 0.18687
10636.0 0.03870647362230248 0.18687
10542.0 0.0385650240423828 0.18687
10435.0 0.03840330543847325 0.18687
10352.0 0.0382783850209515 0.18687
10253.0 0.0381240127790077 0.18687
10146.0 0.037959335954622586 0.18687
10031.0 0.03778318862809477 0.18687
9920.0 0.03760915765129879 0.18687
9794.0 0.03741050807700747 0.18687
9694.0 0.03725019979311538 0.18687
9606.0 0.03710680879899411 0.18687
9486.0 0.03690316427137524 0.18687
9409.0 0.03676576495830168 0.18687
9329.0 0.03662044407602949 0.18687
9255.0 0.03648451743902206 0.18687
9186.0 0.03635537313875437 0.18687
9112.0 0.03621500974905091 0.18687
9012.0 0.03602123564522287 0.18687
8945.0 0.03588794630449553 0.18687
8878.0 0.03575473853016746 0.18687
8814.0 0.035631869281606915 0.18687
8745.0 0.03549429924664266 0.18687
8675.0 0.03535766741962211 0.18687
8614.0 0.03523819109967241 0.18687
8549.0 0.03511184142530345 0.18687
8480.0 0.0349774872093249 0.18687
8422.0 0.03486451326058205 0.18687
8353.0 0.034731105437054356 0.18687
8294.0 0.03461693450965446 0.18687
8233.0 0.03450115279108833 0.18687
8169.0 0.03437942481507139 0.18687
8098.0 0.03424471896484673 0.18687
8026.0 0.034106221360862256 0.18687
7968.0 0.03399645291411412 0.18687
7909.0 0.033882356405406905 0.18687
7845.0 0.03376203427637165 0.18687
7771.0 0.03362161776322763 0.18687
7697.0 0.033479472483339115 0.18687
7643.0 0.03337633197541768 0.18687
7573.0 0.03324326001251173 0.18687
7517.0 0.03313741345141094 0.18687
7458.0 0.03302125739420164 0.18687
7399.0 0.032905887337850846 0.18687
7340.0 0.032790920362756 0.18687
7280.0 0.032674474112564175 0.18687
7223.0 0.03256256491631903 0.18687
7167.0 0.0324525334660496 0.18687
7106.0 0.03233096046024203 0.18687
7051.0 0.032219856842084116 0.18687
6992.0 0.0321010033137124 0.18687
6931.0 0.03197743364689164 0.18687
6877.0 0.031864243077780026 0.18687
6824.0 0.03175584009788935 0.18687
6767.0 0.03163432750197015 0.18687
6709.0 0.03151182866293617 0.18687
6655.0 0.03140137074266702 0.18687
6596.0 0.031277613335557466 0.18687
6546.0 0.03116941177802046 0.18687
6499.0 0.031067306814543522 0.18687
6446.0 0.03095199214147698 0.18687
6397.0 0.030846337529259898 0.18687
6353.0 0.030748476773759335 0.18687
6310.0 0.030650573604083287 0.18687
6262.0 0.030542782988896434 0.18687
6205.0 0.030412954096537066 0.18687
6150.0 0.030285420389521853 0.18687
6095.0 0.030160157590721798 0.18687
6044.0 0.03004060026832076 0.18687
5993.0 0.02991738335610486 0.18687
5945.0 0.029805650625162886 0.18687
5900.0 0.029695702689652874 0.18687
5849.0 0.029569474500511356 0.18687
5797.0 0.02943429284788338 0.18687
5757.0 0.029328415910088917 0.18687
5711.0 0.02919534465000445 0.18687
5668.0 0.0290695699168757 0.18687
5621.0 0.028929012320953785 0.18687
5581.0 0.02880173209861334 0.18687
5546.0 0.02868128509486164 0.18687
5507.0 0.02854523393134068 0.18687
5473.0 0.028414080494823156 0.18687
5435.0 0.028265625883355433 0.18687
5404.0 0.028132194181116017 0.18687
5375.0 0.028001648936586743 0.18687
5344.0 0.027852142368983895 0.18687
5318.0 0.02771715218862924 0.18687
5296.0 0.02759901652120839 0.18687
5268.0 0.027441547988527736 0.18687
5243.0 0.0272937749614498 0.18687
5223.0 0.027171186689370398 0.18687
5203.0 0.027049149014798005 0.18687
5182.0 0.026909064919644548 0.18687
5162.0 0.02677926213393993 0.18687
5140.0 0.026638735546324985 0.18687
5122.0 0.026519699974171588 0.18687
5100.0 0.026375069120273945 0.18687
5077.0 0.026227301359339747 0.18687
5058.0 0.026110404892171445 0.18687
5033.0 0.025956349092675753 0.18687
5000.0 0.025764611989512923 0.18687
4966.0 0.025574880106848233 0.18687
4931.0 0.02540116329641412 0.18687
4895.0 0.025236760512864224 0.18687
4859.0 0.02508092828867385 0.18687
4821.0 0.024932946575040443 0.18687
4780.0 0.024786408700096015 0.18687
4739.0 0.02464981172268364 0.18687
4694.0 0.02451594319811451 0.18687
4646.0 0.024391786299540686 0.18687
4595.0 0.024274964666871374 0.18687
4538.0 0.02416343133542066 0.18687
4476.0 0.02405656451589165 0.18687
4410.0 0.023955961499844636 0.18687
4339.0 0.023859075224554174 0.18687
4301.0 0.023812972281631928 0.18687
4262.0 0.023767505684268803 0.18687
4222.0 0.023723218366638547 0.18687
4180.0 0.023680376684859707 0.18687
4136.0 0.02363788451036859 0.18687
4091.0 0.023596826887476958 0.18687
4044.0 0.023556111777472948 0.18687
3995.0 0.02351682061734696 0.18687
3945.0 0.02347813559197799 0.18687
3895.0 0.023441133403442276 0.18687
3846.0 0.023405536823601143 0.18687
3806.0 0.02337187777392871 0.18687
3788.0 0.02334041676151659 0.18687
30388.0 0.1188095639742045 0.20264
30386.0 0.11814528711261849 0.20264
30387.0 0.11736440518060141 0.20264
30386.0 0.11680768103703693 0.20264
30384.0 0.11621077622363667 0.20264
30382.0 0.11556369038141172 0.20264
30377.0 0.11495196566230241 0.20264
30374.0 0.11440009946208603 0.20264
30371.0 0.1138574366564533 0.20264
30369.0 0.11333039489282573 0.20264
