Teff R M
5232.327266581796 0.006847772075446609 1.06
5239.4898092962885 0.006847947097797975 1.06
5246.715312997067 0.006848051167262732 1.06
5255.209089214975 0.006848060628201587 1.06
5264.249929648543 0.006848125278300259 1.06
5271.832462055065 0.006848270349035676 1.06
5278.763437931315 0.006848357077573556 1.06
5286.2865387055635 0.006848368115829912 1.06
5293.742349083131 0.006848435922652013 1.06
5303.855701570428 0.006848598346374696 1.06
5311.86219919813 0.006848658270662607 1.06
5318.516366257579 0.006848666155476348 1.06
5326.021312861989 0.006848790736738549 1.06
5335.359649981389 0.006848934244545481 1.06
5344.68482449846 0.0068489657851258995 1.06
5351.477453192909 0.006848950014817548 1.06
5358.312027140364 0.006849147146282076 1.06
5366.310527573042 0.006849279621813801 1.06
5374.144010413464 0.006849322203778906 1.06
5382.640812513865 0.0068493064326498425 1.06
5390.726520643306 0.0068495051515297025 1.06
5398.7597328548 0.006849625016498765 1.06
5408.048777020236 0.006849643942738255 1.06
5416.761325099474 0.0068497022989725785 1.06
5424.588513315889 0.006849871061691275 1.06
5432.095543311554 0.006849960965023913 1.06
5440.185392670602 0.006849983046724718 1.06
5448.161839981668 0.006850077683391561 1.06
5455.369860404699 0.006850236991400253 1.06
5463.1308169258755 0.006850339518315763 1.06
5470.502237486529 0.00685037264272415 1.06
5479.876867204689 0.006850456243133685 1.06
5488.0391394569415 0.006850610827710361 1.06
5496.445169926342 0.0068506975858887605 1.06
5504.198656691766 0.006850713360221048 1.06
5513.755449245624 0.006850844288580992 1.06
5522.909159103873 0.0068509815294274514 1.06
5530.246632821606 0.006851055672177968 1.06
5536.7829644581325 0.006851079334926822 1.06
5544.632930718232 0.006851238666230302 1.06
5554.823958639057 0.0068513696046297035 1.06
5562.361366674068 0.006851443751580051 1.06
5568.521489661732 0.0068514816141620576 1.06
5576.873583226435 0.006851640954821125 1.06
5586.042042127306 0.006851779789307363 1.06
5596.237018927512 0.006851822386815978 1.06
5603.251292765679 0.006851861829189706 1.06
5609.265542670196 0.006852048000258798 1.06
5616.982877514529 0.006852201042976641 1.06
5626.500994899141 0.006852262576579226 1.06
5634.622173758061 0.006852278354515068 1.06
5639.724639497762 0.006852428246717387 1.06
5643.335888143876 0.006852519761463443 1.06
5650.355852292004 0.006852660191640056 1.06
5659.926611273428 0.006852716995675016 1.06
5670.453586136514 0.006852780111821689 1.06
5677.6811558524905 0.006852956840124997 1.06
5685.6719722637 0.006853076765497918 1.06
5694.100131451587 0.006853138306964597 1.06
5702.349080801666 0.006853221941125677 1.06
5709.171642741316 0.0068534081491501975 1.06
5716.132668664287 0.006853551753709206 1.06
5723.0494704861385 0.006853652752124445 1.06
5730.808547918564 0.006853696939399119 1.06
5739.409338189215 0.006853876847672969 1.06
5747.583640946648 0.00685402835304019 1.06
5755.704645817191 0.0068541309367006874 1.06
5763.100591501223 0.006854186174692293 1.06
5772.648315846568 0.0068543597827069175 1.06
5781.6380514715875 0.006854506563822422 1.06
5790.268462358832 0.006854599684654289 1.06
5796.672976173676 0.0068546707098679814 1.06
5803.363848435233 0.00685484590854169 1.06
5810.663154286671 0.006855030582261499 1.06
5817.944848309378 0.0068551679069706875 1.06
5829.242196556718 0.006855188426991077 1.06
5838.6265793993625 0.006855365217403112 1.06
5846.23542234978 0.0068555262269237895 1.06
5852.917465708026 0.006855666718712525 1.06
5858.799016721269 0.006855774062693643 1.06
5866.205868054367 0.006855876672482029 1.06
5874.407910192266 0.0068560740033146595 1.06
5884.518059084221 0.006856216085031 1.06
5893.094427068607 0.006856309229087329 1.06
5900.217209869535 0.006856429213126386 1.06
5906.060616399621 0.006856626559862615 1.06
5913.596661164282 0.0068568128603936 1.06
5922.261773602517 0.006856924958914954 1.06
5932.4119355899065 0.006856978640545955 1.06
5941.7872839674665 0.006857201265912747 1.06
5948.036159014409 0.00685736863442304 1.06
5955.159528798876 0.006857520216976421 1.06
5962.4465656733 0.0068576370641482125 1.06
5969.266932214122 0.006857776020133338 1.06
5978.169162764902 0.0068579891967199035 1.06
5986.875129537844 0.006858151847016677 1.06
5996.1722474423 0.006858256071564788 1.06
6005.042701610235 0.006858425045031026 1.06
6013.21593956365 0.006858606656669124 1.06
6022.960292335546 0.0068587598458767175 1.06
6032.524577892127 0.00685885618311014 1.06
6039.868732727404 0.006859108877364954 1.06
6046.138619464724 0.006859333151313758 1.06
6053.8004317442 0.006859538478964234 1.06
6063.077227103719 0.0068596411450943485 1.06
6075.543014605506 0.0068597896188311155 1.06
6085.262259928518 0.006860034449564522 1.06
6092.152974867901 0.006860189250279062 1.06
6099.590790093244 0.006860312461507638 1.06
6107.808330823427 0.006860513079396659 1.06
6118.868219384792 0.00686076425494539 1.06
6130.360298845579 0.006860892215836012 1.06
6139.467433308354 0.006860950667901135 1.06
6146.469062572019 0.006861284012168393 1.06
6153.733722333885 0.006861568394486828 1.06
6165.22314308283 0.006861690050522558 1.06
6177.56324014895 0.006861805388756036 1.06
6187.4385670150805 0.006862088212629768 1.06
6195.626091026003 0.0068623299651811645 1.06
6205.616025959425 0.006862454794996094 1.06
6215.851065034891 0.0068626918198810205 1.06
6227.911033663925 0.006862960457980758 1.06
6238.362396233633 0.006863127967059711 1.06
6245.518512512633 0.006863206982195297 1.06
6250.503461164548 0.006863409265087728 1.06
6263.2623005928945 0.006863696896340864 1.06
6275.638230270074 0.006863796463813809 1.06
6287.233647601073 0.006864065145154515 1.06
6297.875920482251 0.006864400221327309 1.06
6308.40838033339 0.006864605700655735 1.06
6322.0991116711875 0.00686481276681638 1.06
6336.826259781299 0.006865098876139729 1.06
6349.28175932502 0.006865230079430459 1.06
6361.457059615084 0.006865595248777783 1.06
6374.774107623648 0.006865919333080718 1.06
6387.980768618006 0.006866039485294672 1.06
6404.009979237802 0.006866414183990419 1.06
6420.509604866284 0.006866559642158147 1.06
6435.057027843469 0.0068668347562483205 1.06
6449.86166355848 0.006867173130071785 1.06
6464.852193262913 0.0068674166430466276 1.06
6481.851842212986 0.006867789835530446 1.06
6498.411368594382 0.00686785467188553 1.06
6516.066381915494 0.006868240539927878 1.06
6532.898338771588 0.006868477764648806 1.06
6548.95641354883 0.006868868412543997 1.06
6567.991771202532 0.006869028157557024 1.06
6585.180750399952 0.006869322351163067 1.06
6603.5200376909215 0.006869619720945175 1.06
6622.317519758108 0.006869928176607321 1.06
6639.595164914549 0.0068701496404958125 1.06
6659.364704997138 0.006870380603298589 1.06
6678.850157269602 0.0068706558704785346 1.06
6698.145851059376 0.006871014999988228 1.06
6718.389831876889 0.006871204855771721 1.06
6736.569582503928 0.006871434271842665 1.06
6756.51896294312 0.006871741226703626 1.06
6776.797367062086 0.006872019713079325 1.06
6796.020809278833 0.006872170037119894 1.06
6816.4538701360225 0.00687245487063563 1.06
6835.300308115264 0.0068727001534008405 1.06
6856.028275061328 0.006872967600714442 1.06
6876.7937642296365 0.006873174919106115 1.06
6897.4855608020425 0.006873499361200631 1.06
6916.253452242283 0.0068736671275099704 1.06
6937.2460769285735 0.006873955188648826 1.06
6958.380928332148 0.006874069150234048 1.06
6979.340713735593 0.006874366725502915 1.06
6998.503755703265 0.006874512352137341 1.06
7019.586013967159 0.0068748827642183714 1.06
7040.887416129006 0.006874936586437797 1.06
7060.73805526157 0.006875251613172563 1.06
7082.009418515856 0.006875419422250315 1.06
7101.971088589345 0.006875742387096236 1.06
7123.488048555726 0.0068758231306781555 1.06
7144.818485626038 0.006876117615306074 1.06
7164.544755939689 0.006876264862349694 1.06
7186.057699620115 0.006876587866909182 1.06
7207.716561918569 0.006876684454552657 1.06
7229.177695908757 0.0068769995613790985 1.06
7249.045071161887 0.0068771484108307 1.06
7270.774911962978 0.006877395444690276 1.06
7292.454028202131 0.006877556971627054 1.06
7312.491933249047 0.006877837277373879 1.06
7334.415340890325 0.006877962389275931 1.06
7356.301150944321 0.00687821578744236 1.06
7378.150334382942 0.0068784264317736975 1.06
7398.709914151168 0.006878713108482729 1.06
7420.6833485271945 0.006878838236316663 1.06
7441.43341333024 0.006879128098143584 1.06
7463.578414489662 0.00687925956955571 1.06
7485.613505137787 0.0068794940067422325 1.06
7506.418955217753 0.006879679344496805 1.06
7528.689738642178 0.006879912211830239 1.06
7551.059632368089 0.006880070629487077 1.06
7573.346022817558 0.006880309847061605 1.06
7594.781782724881 0.006880496791088156 1.06
7617.177922701912 0.006880728101744621 1.06
7639.205622922082 0.006880910303969428 1.06
7661.452264353742 0.00688110043317408 1.06
7683.811461669043 0.006881323841702555 1.06
7706.150740113435 0.006881513982333807 1.06
7721.064847283705 0.006881590040057367 1.06
7743.655075226911 0.006881889525515502 1.06
7766.327491823247 0.006881997280085465 1.06
7789.0358008917 0.006882268258592562 1.06
7811.8051115855405 0.006882399790018301 1.06
7834.6103148845505 0.006882699310716596 1.06
7857.492949519456 0.006882808662791003 1.06
7880.335360653902 0.006883071748812508 1.06
7903.331527017207 0.006883209635261719 1.06
7926.256092232037 0.0068834790765254445 1.06
7949.208714985154 0.006883653426492857 1.06
7972.042402431852 0.006883892768639916 1.06
7995.346687450628 0.006884048107731496 1.06
8018.165202395212 0.006884268441638535 1.06
8041.550618351236 0.00688445073761185 1.06
8064.495427374809 0.006884674254914581 1.06
8087.971272053367 0.006884869244019993 1.06
8110.708629293949 0.0068850911895593555 1.06
8134.380810276042 0.006885267165750748 1.06
8157.9793186591005 0.0068854891241177975 1.06
8180.661071187805 0.0068856619395147615 1.06
8204.458073140018 0.006885898180423082 1.06
8228.248513678393 0.0068860805195519815 1.06
8251.156035032494 0.006886312017923948 1.06
8275.085696316848 0.006886480096960768 1.06
8298.167559357074 0.006886708437318674 1.06
8322.329375325096 0.006886873354508055 1.06
8346.423170109534 0.006887108051163508 1.06
8369.76183226762 0.006887279321338257 1.06
8394.010342839363 0.006887529890934001 1.06
8418.311659633966 0.006887712273270752 1.06
8441.800800917888 0.006887948584524193 1.06
8466.382783969888 0.006888126219797287 1.06
8490.893624644887 0.006888357786942233 1.06
8514.775463329435 0.006888524329770024 1.06
