Mass Teff Radius H_mass
0.150  2399 0.022437 10
0.150  2392 0.022433 10
0.150  2383 0.022430 10
0.150  2374 0.022426 10
0.150  2365 0.022422 10
0.150  2357 0.022418 10
0.150  2345 0.022420 10
0.150  2340 0.022413 10
0.150  2331 0.022409 10
0.150  2323 0.022406 10
0.150  2315 0.022402 10
0.150  2307 0.022399 10
0.150  2299 0.022396 10
0.150  2294 0.022392 10
0.150  2286 0.022389 10
0.150  2278 0.022386 10
0.150  2271 0.022383 10
0.150  2263 0.022380 10
0.150  2253 0.022377 10
0.150  2243 0.022374 10
0.150  2233 0.022370 10
0.150  2225 0.022367 10
0.150  2217 0.022364 10
0.150  2209 0.022361 10
0.150  2202 0.022359 10
0.150  2196 0.022356 10
0.150  2189 0.022353 10
0.150  2181 0.022350 10
0.150  2173 0.022348 10
0.200 14970 0.042547 10
0.200 14702 0.040811 10
0.200 14431 0.039301 10
0.200 14184 0.038099 10
0.200 13959 0.037094 10
0.200 13745 0.036226 10
0.200 13540 0.035461 10
0.200 13343 0.034771 10
0.200 13151 0.034143 10
0.200 12965 0.033566 10
0.200 12783 0.033031 10
0.200 12604 0.032534 10
0.200 12426 0.032070 10
0.200 12250 0.031633 10
0.200 12074 0.031220 10
0.200 11899 0.030832 10
0.200 11725 0.030464 10
0.200 11554 0.030112 10
0.200 11384 0.029779 10
0.200 11219 0.029458 10
0.200 11054 0.029154 10
0.200 10893 0.028864 10
0.200 10735 0.028585 10
0.200 10579 0.028320 10
0.200 10423 0.028065 10
0.200 10269 0.027821 10
0.200 10115 0.027586 10
0.200  9961 0.027359 10
0.200  9808 0.027142 10
0.200  9657 0.026933 10
0.200  9507 0.026731 10
0.200  9364 0.026509 10
0.200  9272 0.026366 10
0.200  9184 0.026227 10
0.200  9099 0.026096 10
0.200  9014 0.025974 10
0.200  8893 0.025803 10
0.200  8754 0.025616 10
0.200  8616 0.025438 10
0.200  8478 0.025276 10
0.200  8344 0.025102 10
0.200  8306 0.024404 10
0.200  8362 0.023715 10
0.200  8292 0.023671 10
0.200  8260 0.023645 10
0.200  8213 0.023609 10
0.200  8147 0.023557 10
0.200  8051 0.023483 10
0.200  7921 0.023380 10
0.200  7792 0.023282 10
0.200  7665 0.023188 10
0.200  7541 0.023096 10
0.200  7421 0.023005 10
0.200  7301 0.022918 10
0.200  7185 0.022835 10
0.200  7070 0.022754 10
0.200  6959 0.022673 10
0.200  6850 0.022598 10
0.200  6742 0.022525 10
0.200  6636 0.022454 10
0.200  6534 0.022383 10
