Mass Teff Radius H_mass
0.150  3499 0.023899 4
0.150  3487 0.023887 4
0.150  3471 0.023867 4
0.150  3444 0.023843 4
0.150  3405 0.023807 4
0.150  3359 0.023766 4
0.150  3315 0.023723 4
0.150  3275 0.023679 4
0.150  3237 0.023635 4
0.150  3202 0.023588 4
0.150  3170 0.023540 4
0.150  3143 0.023492 4
0.150  3121 0.023444 4
0.150  3097 0.023400 4
0.150  3079 0.023356 4
0.150  3058 0.023316 4
0.150  3038 0.023278 4
0.150  3021 0.023240 4
0.150  3001 0.023208 4
0.150  2984 0.023174 4
0.150  2964 0.023144 4
0.150  2948 0.023111 4
0.150  2927 0.023085 4
0.150  2911 0.023057 4
0.150  2891 0.023033 4
0.150  2874 0.023007 4
0.150  2854 0.022986 4
0.150  2845 0.022974 4
0.150  2833 0.022956 4
0.150  2813 0.022936 4
0.150  2802 0.022926 4
0.150  2788 0.022909 4
0.150  2767 0.022890 4
0.150  2746 0.022870 4
0.150  2725 0.022851 4
0.150  2708 0.022832 4
0.150  2686 0.022816 4
0.150  2667 0.022798 4
0.150  2647 0.022782 4
0.150  2623 0.022768 4
0.150  2603 0.022751 4
0.150  2598 0.022747 4
0.150  2587 0.022743 4
0.150  2578 0.022735 4
0.150  2561 0.022724 4
0.150  2540 0.022711 4
0.150  2519 0.022695 4
0.150  2498 0.022682 4
0.150  2477 0.022670 4
0.150  2455 0.022658 4
0.150  2430 0.022648 4
0.150  2404 0.022649 4
0.150  2380 0.022625 4
0.150  2355 0.022614 4
0.150  2331 0.022603 4
0.150  2306 0.022588 4
0.150  2281 0.022578 4
0.150  2257 0.022568 4
0.150  2233 0.022559 4
0.150  2210 0.022551 4
0.150  2186 0.022542 4
0.150  2162 0.022534 4
0.200 14049 0.045737 4
0.200 13797 0.043865 4
0.200 13568 0.042385 4
0.200 13359 0.041164 4
0.200 13160 0.040118 4
0.200 12971 0.039197 4
0.200 12789 0.038373 4
0.200 12612 0.037625 4
0.200 12440 0.036940 4
0.200 12271 0.036307 4
0.200 12104 0.035719 4
0.200 11939 0.035170 4
0.200 11775 0.034656 4
0.200 11612 0.034167 4
0.200 11449 0.033708 4
0.200 11287 0.033274 4
0.200 11127 0.032857 4
0.200 10968 0.032464 4
0.200 10812 0.032087 4
0.200 10659 0.031727 4
0.200 10506 0.031386 4
0.200 10358 0.031057 4
0.200 10211 0.030743 4
0.200 10065 0.030443 4
0.200  9920 0.030153 4
0.200  9775 0.029874 4
0.200  9631 0.029605 4
0.200  9487 0.029346 4
0.200  9347 0.029077 4
0.200  9217 0.028810 4
0.200  9092 0.028563 4
0.200  9031 0.028449 4
0.200  8949 0.028243 4
0.200  8859 0.028110 4
0.200  8775 0.027968 4
0.200  8654 0.027756 4
0.200  8522 0.027537 4
0.200  8392 0.027326 4
0.200  8260 0.027128 4
0.200  8131 0.026935 4
0.200  8004 0.026751 4
0.200  7883 0.026567 4
0.200  7762 0.026390 4
0.200  7644 0.026207 4
0.200  7527 0.026036 4
0.200  7410 0.025879 4
0.200  7295 0.025724 4
0.200  7182 0.025571 4
0.200  7071 0.025425 4
0.200  6961 0.025283 4
0.200  6853 0.025144 4
0.200  6746 0.025009 4
0.200  6642 0.024874 4
0.200  6540 0.024744 4
0.200  6438 0.024621 4
0.200  6340 0.024495 4
0.200  6244 0.024367 4
0.200  6149 0.024243 4
0.200  6056 0.024115 4
0.200  5965 0.023991 4
0.200  5876 0.023862 4
0.200  5791 0.023717 4
0.200  5709 0.023569 4
0.200  5628 0.023411 4
0.200  5550 0.023252 4
0.200  5476 0.023078 4
0.200  5405 0.022899 4
0.200  5339 0.022727 4
0.200  5302 0.022445 4
0.200  5267 0.022199 4
0.200  5220 0.022059 4
0.200  5165 0.021958 4
0.200  5113 0.021873 4
0.200  5064 0.021794 4
0.200  5014 0.021729 4
0.200  4967 0.021665 4
0.200  4920 0.021607 4
0.200  4876 0.021552 4
0.200  4831 0.021501 4
0.200  4788 0.021451 4
0.200  4748 0.021404 4
0.200  4705 0.021359 4
0.200  4668 0.021314 4
0.200  4628 0.021273 4
0.200  4589 0.021234 4
0.200  4556 0.021195 4
0.200  4519 0.021160 4
0.200  4489 0.021120 4
0.200  4454 0.021088 4
0.200  4424 0.021055 4
0.200  4390 0.021026 4
0.200  4360 0.020996 4
0.200  4325 0.020969 4
0.200  4296 0.020941 4
0.200  4264 0.020916 4
0.200  4226 0.020894 4
0.200  4188 0.020872 4
0.200  4152 0.020851 4
0.200  4112 0.020831 4
0.200  4073 0.020811 4
0.200  4024 0.020794 4
0.200  3975 0.020775 4
0.200  3928 0.020757 4
0.200  3877 0.020740 4
0.200  3825 0.020725 4
0.200  3778 0.020709 4
0.200  3729 0.020693 4
0.200  3680 0.020679 4
0.200  3632 0.020664 4
0.200  3584 0.020650 4
0.200  3538 0.020637 4
0.200  3491 0.020624 4
0.200  3445 0.020611 4
0.200  3400 0.020599 4
0.200  3355 0.020587 4
0.200  3311 0.020575 4
0.200  3267 0.020564 4
0.200  3225 0.020553 4
0.200  3181 0.020542 4
0.200  3141 0.020531 4
0.200  3101 0.020521 4
0.200  3064 0.020511 4
0.200  3028 0.020500 4
0.200  2996 0.020491 4
0.200  2960 0.020482 4
0.200  2927 0.020473 4
0.200  2889 0.020465 4
0.200  2852 0.020457 4
0.200  2814 0.020449 4
0.200  2777 0.020441 4
0.200  2740 0.020434 4
0.200  2702 0.020427 4
0.200  2665 0.020420 4
0.200  2628 0.020413 4
0.200  2591 0.020407 4
0.200  2555 0.020401 4
0.200  2519 0.020395 4
0.200  2483 0.020386 4
0.200  2447 0.020381 4
0.200  2412 0.020375 4
0.200  2377 0.020370 4
0.200  2343 0.020365 4
0.200  2309 0.020360 4
0.200  2276 0.020355 4
0.200 13959 0.048464 4
0.200 13752 0.046456 4
0.200 13525 0.044586 4
0.200 13317 0.043094 4
0.200 13124 0.041847 4
0.200 12939 0.040771 4
0.200 12761 0.039820 4
0.200 12588 0.038969 4
0.200 12420 0.038192 4
0.200 12256 0.037477 4
0.200 12094 0.036818 4
0.200 11935 0.036205 4
0.200 11776 0.035633 4
0.200 11618 0.035093 4
0.200 11459 0.034584 4
0.200 11302 0.034104 4
0.200 11144 0.033650 4
0.200 10990 0.033214 4
0.200 10836 0.032803 4
0.200 10684 0.032409 4
0.200 10535 0.032033 4
0.200 10387 0.031678 4
0.200 10243 0.031335 4
0.200 10099 0.031009 4
0.200  9957 0.030695 4
0.200  9815 0.030392 4
0.200  9673 0.030101 4
0.200  9532 0.029822 4
0.200  9391 0.029550 4
0.200  9256 0.029256 4
0.200  9170 0.029065 4
0.200  9087 0.028883 4
0.200  9007 0.028704 4
0.200  8952 0.028603 4
0.200  8875 0.028443 4
0.200  8766 0.028215 4
0.200  8635 0.027975 4
0.200  8506 0.027732 4
0.200  8375 0.027518 4
0.200  8248 0.027299 4
0.200  8117 0.027106 4
0.200  7993 0.026905 4
0.200  7873 0.026720 4
0.200  7754 0.026523 4
0.200  7638 0.026325 4
0.200  7521 0.026158 4
0.200  7406 0.025988 4
0.200  7291 0.025825 4
0.200  7179 0.025668 4
0.200  7069 0.025513 4
0.200  6960 0.025365 4
0.200  6852 0.025226 4
0.200  6746 0.025087 4
0.200  6643 0.024947 4
0.200  6541 0.024815 4
0.200  6440 0.024688 4
0.200  6341 0.024563 4
0.200  6244 0.024443 4
0.200  6148 0.024323 4
0.200  6055 0.024201 4
0.200  5963 0.024084 4
0.200  5872 0.023971 4
0.200  5783 0.023865 4
0.200  5697 0.023750 4
0.200  5611 0.023641 4
0.200  5526 0.023541 4
0.200  5444 0.023427 4
0.200  5361 0.023338 4
0.200  5283 0.023221 4
0.200  5205 0.023120 4
