Teff R M
2500.0 0.01959064845513503 0.2
2750.0 0.019613216011119247 0.2
3000.0 0.019635809563924564 0.2
3250.0 0.019658429143498145 0.2
3500.0 0.019703746502911425 0.2
3750.0 0.019749168329627233 0.2
4000.0 0.019794694864467534 0.2
4250.0 0.019886063024586734 0.2
4500.0 0.020000866519284226 0.2
4750.0 0.02020918555508054 0.2
5000.0 0.0205849023659927 0.2
5250.0 0.021015939593709586 0.2
5500.0 0.02145600251843367 0.2
6000.0 0.02215893132295763 0.2
6500.0 0.022622927904374295 0.2
7000.0 0.023043519535964826 0.2
7500.0 0.023498969170178928 0.2
8000.0 0.02399102545226516 0.2
8500.0 0.02454984822293216 0.2
9000.0 0.025121687648082595 0.2
9500.0 0.02576610732694211 0.2
10000.0 0.026396649844900748 0.2
10500.0 0.02698042655418454 0.2
11000.0 0.0276088814216426 0.2
11500.0 0.02825197488347719 0.2
12000.0 0.028943351006160054 0.2
12500.0 0.029685803711638686 0.2
13000.0 0.030517490038547933 0.2
13500.0 0.03140861683632422 0.2
14000.0 0.032363002850417336 0.2
14500.0 0.03346176242828462 0.2
15000.0 0.034637681260924015 0.2
15500.0 0.036020423240794186 0.2
16000.0 0.03750151488024741 0.2
16500.0 0.039223722841507824 0.2
17000.0 0.04121438384095747 0.2
2500.0 0.01694706288608609 0.3
2750.0 0.0169665851490334 0.3
3000.0 0.0169665851490334 0.3
3250.0 0.01698612990075965 0.3
3500.0 0.017005697167170892 0.3
3750.0 0.017025286974203024 0.3
4000.0 0.017064534314023144 0.3
4250.0 0.01710387212830545 0.3
4500.0 0.017163048945713317 0.3
4750.0 0.017242269980184556 0.3
5000.0 0.01742185685227077 0.3
5250.0 0.01764389404173568 0.3
5500.0 0.017827664029447108 0.3
6000.0 0.018138210637320858 0.3
6500.0 0.018327129179794708 0.3
7000.0 0.0184754251498866 0.3
7500.0 0.018646376154016812 0.3
8000.0 0.018797255345914827 0.3
8500.0 0.018971184208184923 0.3
9000.0 0.019146722414403055 0.3
9500.0 0.01932388485564543 0.3
10000.0 0.01950268656077368 0.3
10500.0 0.0196831426977098 0.3
11000.0 0.019865268574722834 0.3
11500.0 0.0200260105679463 0.3
12000.0 0.02018805322258739 0.3
12500.0 0.020351407063090174 0.3
13000.0 0.020539716314145178 0.3
13500.0 0.020729767969247376 0.3
14000.0 0.020921578150662926 0.3
14500.0 0.02113948685894222 0.3
15000.0 0.021359665195487678 0.3
15500.0 0.021582136799613755 0.3
16000.0 0.021806925556850088 0.3
16500.0 0.02203405560150618 0.3
17000.0 0.02226355131926236 0.3
20000.0 0.023828375812255304 0.3
25000.0 0.027390151915467266 0.3
30000.0 0.03373606626147082 0.3
35000.0 0.032143594523177145 0.3
40000.0 0.03544822070568111 0.3
45000.0 0.03945430894819614 0.3
50000.0 0.044832653179654354 0.3
55000.0 0.05273445244859712 0.3
