Teff	logg	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
6000.0	7.5	7885.387131582835	8353.938034070383	8909.788590721808	9476.770873714446	10144.222349622136
6500.0	7.5	8823.863356811338	9318.05593944442	9940.704099567585	10583.58152998949	11338.128592537387
7000.0	7.5	9676.430694955097	10279.398069563724	10990.972350682876	11717.241780347422	12543.142705246772
7500.0	7.5	10462.555960515247	11249.557483845874	12072.41558944322	12879.67571933397	13769.99562864463
8000.0	7.5	11202.189187773452	12257.597487101753	13209.228247786057	14100.082046823887	15040.022628478488
8500.0	7.5	11913.17403208935	13316.851982082648	14420.240165020703	15388.870736339692	16337.816683983
9000.0	7.5	12600.514405400274	14418.861073273609	15677.92170116937	16712.089240053563	17639.49148950167
9500.0	7.5	13303.4756515141	15585.18398613742	17010.94141382567	18098.905024163414	18978.910648757246
10000.0	7.5	14004.1817545234	16788.020445326092	18370.560622338657	19468.351372099212	20278.091530705882
10500.0	7.5	14662.86200088226	17943.80091507082	19624.495495775183	20708.371406084603	21402.8460334831
11000.0	7.5	15301.553117951898	19060.113680054517	20787.68023042498	21822.59911420351	22410.02709129034
11500.0	7.5	15857.14543898528	20073.71720983809	21793.235669551028	22726.08876721129	23217.73753387009
12000.0	7.5	16293.127100530026	20951.755413039948	22592.251758653714	23413.15805870197	23824.922611362974
12500.0	7.5	16772.82019260472	21852.22362958031	23376.27828608241	24070.496469111327	24427.914947772275
13000.0	7.5	17368.074321297183	22775.09714394526	24246.96187553036	24860.846631848777	25160.43958369038
13500.0	7.5	18045.92822540977	23681.120706669884	25131.240079121937	25698.83004092677	25955.478635771196
14000.0	7.5	18758.494956673032	24552.025621122924	25984.510267904905	26535.246194815256	26786.44622849101
14500.0	7.5	19513.259315579784	25471.770437787698	26894.62961607864	27421.571537849373	27667.297647520954
15000.0	7.5	20271.633225860965	26346.002510149734	27765.66538139887	28276.766880390467	28511.578828097347
15500.0	7.5	21049.49978339911	27212.59888075488	28630.080196864674	29134.92696609372	29369.78442553729
