#     6   58  Pure hydrogen grid                   Sun Sep  6 14:45:00 2015
  Teff  logg  M/Mo  Mbol     BC     Age      U      B      V      R      I      J      H      K    IR1    IR2    IR3    IR4     u      g      r      i      z      KG5
  6000. 8.0  0.588 14.063 -0.117 2.241E+09 14.403 14.718 14.181 13.828 13.453 13.100 12.831 12.774 12.676 12.658 12.649 12.644 15.218 14.407 14.022 13.902 13.884 14.400
  6500. 8.0  0.590 13.712 -0.121 1.828E+09 13.786 14.264 13.832 13.538 13.216 12.925 12.686 12.652 12.584 12.577 12.577 12.579 14.604 13.998 13.719 13.649 13.666 14.011
  7000. 8.0  0.592 13.387 -0.144 1.520E+09 13.318 13.889 13.531 13.284 13.007 12.773 12.566 12.551 12.506 12.507 12.511 12.515 14.139 13.652 13.455 13.425 13.473 13.681
  7500. 8.0  0.593 13.084 -0.177 1.274E+09 12.943 13.567 13.261 13.053 12.815 12.637 12.461 12.461 12.431 12.437 12.443 12.446 13.767 13.349 13.216 13.221 13.296 13.392
  8000. 8.0  0.595 12.801 -0.212 1.075E+09 12.631 13.282 13.014 12.840 12.637 12.511 12.367 12.378 12.358 12.368 12.374 12.377 13.458 13.077 12.995 13.031 13.132 13.133
  8500. 8.0  0.596 12.535 -0.249 9.170E+08 12.363 13.024 12.784 12.642 12.472 12.395 12.280 12.301 12.287 12.300 12.307 12.311 13.192 12.828 12.791 12.855 12.980 12.897
  9000. 8.0  0.598 12.285 -0.283 7.919E+08 12.128 12.788 12.568 12.456 12.318 12.287 12.200 12.228 12.218 12.234 12.241 12.247 12.959 12.597 12.599 12.690 12.839 12.680
  9500. 8.0  0.599 12.047 -0.318 6.894E+08 11.915 12.570 12.365 12.282 12.174 12.187 12.124 12.159 12.151 12.170 12.178 12.185 12.749 12.383 12.420 12.536 12.708 12.479
 10000. 8.0  0.600 11.822 -0.354 6.033E+08 11.722 12.370 12.176 12.122 12.043 12.095 12.054 12.095 12.087 12.108 12.116 12.124 12.557 12.185 12.255 12.394 12.590 12.294
 10500. 8.0  0.602 11.607 -0.400 5.307E+08 11.547 12.190 12.008 11.980 11.928 12.013 11.992 12.037 12.028 12.050 12.057 12.066 12.384 12.008 12.109 12.270 12.486 12.128
 11000. 8.0  0.603 11.403 -0.463 4.695E+08 11.393 12.037 11.866 11.861 11.833 11.945 11.939 11.987 11.977 11.998 12.005 12.014 12.232 11.857 11.986 12.166 12.400 11.986
 11500. 8.0  0.604 11.208 -0.542 4.179E+08 11.258 11.907 11.749 11.763 11.755 11.888 11.893 11.943 11.935 11.956 11.962 11.972 12.098 11.732 11.885 12.082 12.329 11.867
 12000. 8.0  0.606 11.021 -0.633 3.735E+08 11.144 11.799 11.654 11.684 11.693 11.842 11.855 11.907 11.899 11.921 11.927 11.938 11.985 11.627 11.802 12.015 12.272 11.768
 12500. 8.0  0.607 10.841 -0.742 3.348E+08 11.058 11.717 11.584 11.626 11.648 11.807 11.826 11.878 11.870 11.891 11.898 11.909 11.899 11.548 11.742 11.966 12.231 11.694
 13000. 8.0  0.608 10.669 -0.854 3.005E+08 10.979 11.644 11.523 11.576 11.607 11.775 11.798 11.850 11.843 11.864 11.871 11.882 11.820 11.479 11.690 11.924 12.193 11.628
 13500. 8.0  0.609 10.503 -0.956 2.701E+08 10.891 11.565 11.458 11.521 11.563 11.740 11.767 11.820 11.814 11.835 11.843 11.854 11.732 11.404 11.633 11.877 12.151 11.556
 14000. 8.0  0.610 10.343 -1.050 2.431E+08 10.794 11.482 11.393 11.464 11.515 11.701 11.733 11.787 11.784 11.805 11.813 11.825 11.635 11.328 11.573 11.826 12.106 11.480
 14500. 8.0  0.611 10.188 -1.142 2.189E+08 10.695 11.402 11.330 11.406 11.466 11.662 11.698 11.754 11.753 11.775 11.784 11.796 11.537 11.254 11.515 11.775 12.059 11.405
 15000. 8.0  0.613 10.039 -1.232 1.972E+08 10.597 11.325 11.271 11.351 11.418 11.623 11.663 11.721 11.723 11.745 11.754 11.767 11.439 11.183 11.458 11.725 12.013 11.332
 15500. 8.0  0.614  9.895 -1.319 1.778E+08 10.501 11.251 11.213 11.298 11.371 11.584 11.628 11.688 11.693 11.715 11.725 11.739 11.344 11.116 11.403 11.676 11.968 11.262
 16000. 8.0  0.615  9.755 -1.404 1.603E+08 10.409 11.181 11.159 11.246 11.324 11.546 11.594 11.656 11.663 11.686 11.697 11.711 11.251 11.052 11.350 11.628 11.923 11.195
 16500. 8.0  0.616  9.619 -1.486 1.445E+08 10.319 11.113 11.105 11.196 11.279 11.509 11.560 11.623 11.634 11.657 11.668 11.683 11.162 10.989 11.298 11.582 11.880 11.129
 17000. 8.0  0.617  9.488 -1.566 1.303E+08 10.233 11.048 11.054 11.147 11.235 11.473 11.527 11.592 11.605 11.629 11.641 11.656 11.075 10.930 11.249 11.537 11.837 11.065
 20000. 8.0  0.624  8.770 -2.000 6.896E+07  9.768 10.699 10.770 10.877 10.990 11.267 11.337 11.412 11.439 11.467 11.483 11.502 10.610 10.607 10.974 11.284 11.599 10.718
 25000. 8.0  0.635  7.782 -2.578 2.216E+07  9.139 10.210 10.360 10.487 10.629 10.959 11.049 11.140 11.189 11.225 11.249 11.276  9.982 10.151 10.577 10.915 11.249 10.225
 30000. 8.0  0.646  6.972 -3.001 9.239E+06  8.583  9.758  9.972 10.112 10.276 10.648 10.755 10.857 10.924 10.963 10.990 11.018  9.426  9.726 10.197 10.557 10.905  9.767
 35000. 8.0  0.661  6.277 -3.378 6.331E+06  8.159  9.396  9.655  9.798  9.973 10.364 10.477 10.579 10.644 10.673 10.696 10.713  9.003  9.382  9.881 10.251 10.605  9.401
 40000. 8.0  0.672  5.679 -3.773 4.018E+06  7.905  9.172  9.452  9.598  9.779 10.178 10.294 10.395 10.458 10.484 10.505 10.517  8.749  9.167  9.679 10.056 10.412  9.174
 45000. 8.0  0.682  5.151 -4.152 2.808E+06  7.724  9.009  9.303  9.451  9.635 10.039 10.156 10.256 10.318 10.343 10.361 10.371  8.568  9.009  9.531  9.911 10.269  9.010
 50000. 8.0  0.694  4.676 -4.503 1.818E+06  7.578  8.875  9.179  9.328  9.515  9.922 10.040 10.140 10.200 10.224 10.241 10.249  8.422  8.879  9.408  9.790 10.149  8.875
 55000. 8.0  0.703  4.247 -4.828 1.534E+06  7.457  8.763  9.075  9.225  9.414  9.823  9.942 10.042 10.101 10.124 10.140 10.147  8.301  8.770  9.304  9.689 10.048  8.762
 60000. 8.0  0.713  3.854 -5.127 1.257E+06  7.348  8.663  8.981  9.132  9.322  9.733  9.852  9.952 10.011 10.033 10.048 10.054  8.193  8.672  9.210  9.597  9.957  8.661
 65000. 8.0  0.722  3.492 -5.403 1.055E+06  7.252  8.572  8.895  9.047  9.238  9.652  9.771  9.871  9.929  9.950  9.965  9.970  8.096  8.583  9.125  9.513  9.874  8.570
 70000. 8.0  0.732  3.156 -5.660 9.011E+05  7.163  8.488  8.816  8.969  9.161  9.576  9.696  9.795  9.853  9.874  9.888  9.893  8.008  8.501  9.047  9.436  9.797  8.486
 75000. 8.0  0.741  2.843 -5.899 7.773E+05  7.081  8.411  8.743  8.896  9.090  9.505  9.626  9.725  9.782  9.802  9.816  9.821  7.926  8.426  8.973  9.364  9.726  8.408
 80000. 8.0  0.750  2.550 -6.123 6.760E+05  7.004  8.338  8.673  8.827  9.022  9.439  9.559  9.659  9.715  9.735  9.749  9.753  7.849  8.354  8.904  9.296  9.658  8.335
 85000. 8.0  0.759  2.274 -6.333 5.907E+05  6.931  8.269  8.607  8.761  8.957  9.375  9.496  9.595  9.651  9.671  9.684  9.689  7.777  8.286  8.838  9.231  9.593  8.265
 90000. 8.0  0.768  2.013 -6.531 5.195E+05  6.863  8.203  8.544  8.699  8.895  9.314  9.436  9.535  9.591  9.610  9.624  9.628  7.708  8.221  8.776  9.169  9.532  8.200
100000. 8.0  0.785  1.530 -6.895 4.023E+05  6.734  8.079  8.425  8.581  8.779  9.199  9.321  9.420  9.475  9.495  9.508  9.512  7.579  8.099  8.658  9.052  9.416  8.076
110000. 8.0  0.804  1.091 -7.223 3.080E+05  6.615  7.965  8.314  8.471  8.670  9.091  9.214  9.313  9.369  9.388  9.401  9.406  7.460  7.986  8.547  8.943  9.308  7.961
120000. 8.0  0.824  0.686 -7.521 2.342E+05  6.501  7.855  8.208  8.365  8.566  8.988  9.111  9.211  9.266  9.286  9.299  9.305  7.347  7.877  8.441  8.838  9.203  7.850
  1500. 8.5  0.908 20.862  1.139 1.210E+10 23.919 21.763 19.723 19.843 21.772 21.578 21.482 22.402 18.065 17.637 17.490 17.024 24.911 20.648 19.709 22.113 21.604 20.545
  1750. 8.5  0.908 20.192  0.992 1.199E+10 23.325 21.312 19.200 19.080 20.503 20.364 20.406 21.233 17.504 17.143 17.029 16.660 24.298 20.206 18.969 20.826 20.527 19.925
  2000. 8.5  0.908 19.612  0.812 1.187E+10 22.770 20.901 18.800 18.461 19.376 19.419 19.583 20.286 17.070 16.758 16.656 16.350 23.725 19.830 18.394 19.713 19.540 19.413
  2250. 8.5  0.908 19.101  0.589 1.172E+10 22.293 20.562 18.512 18.003 18.466 18.605 18.839 19.398 16.670 16.400 16.303 16.042 23.231 19.532 18.001 18.823 18.732 19.028
  2500. 8.5  0.908 18.643  0.381 1.156E+10 21.846 20.242 18.262 17.623 17.715 17.908 18.214 18.660 16.337 16.101 16.002 15.770 22.770 19.254 17.698 18.101 18.049 18.701
  2750. 8.5  0.908 18.229  0.187 1.139E+10 21.430 19.944 18.042 17.312 17.105 17.310 17.667 18.018 16.043 15.835 15.733 15.519 22.342 18.998 17.461 17.531 17.481 18.424
  3000. 8.5  0.908 17.851  0.017 1.123E+10 21.025 19.652 17.835 17.048 16.617 16.772 17.155 17.438 15.769 15.586 15.481 15.280 21.926 18.748 17.262 17.088 17.008 18.181
  3250. 8.5  0.908 17.503 -0.127 1.106E+10 20.618 19.357 17.631 16.823 16.245 16.280 16.655 16.874 15.498 15.339 15.226 15.032 21.508 18.497 17.079 16.755 16.628 17.958
  3500. 8.5  0.908 17.182 -0.241 1.088E+10 20.199 19.053 17.423 16.624 15.972 15.832 16.167 16.340 15.223 15.086 14.971 14.783 21.079 18.239 16.900 16.505 16.335 17.745
  3750. 8.5  0.908 16.882 -0.325 1.068E+10 19.762 18.735 17.207 16.436 15.762 15.432 15.690 15.821 14.943 14.822 14.706 14.528 20.634 17.969 16.718 16.303 16.108 17.532
  4000. 8.5  0.909 16.601 -0.371 1.040E+10 19.281 18.385 16.972 16.244 15.580 15.093 15.235 15.312 14.645 14.532 14.421 14.261 20.143 17.673 16.521 16.120 15.919 17.302
  4250. 8.5  0.909 16.338 -0.375 1.004E+10 18.750 18.001 16.713 16.036 15.400 14.827 14.823 14.851 14.354 14.248 14.145 14.013 19.604 17.347 16.303 15.932 15.744 17.046
  4500. 8.5  0.909 16.089 -0.346 9.676E+09 18.183 17.591 16.436 15.813 15.216 14.628 14.480 14.481 14.103 14.007 13.921 13.828 19.027 16.999 16.068 15.736 15.570 16.767
  4750. 8.5  0.909 15.854 -0.299 9.230E+09 17.612 17.181 16.153 15.584 15.028 14.469 14.218 14.178 13.898 13.819 13.758 13.703 18.448 16.647 15.826 15.535 15.396 16.477
  5000. 8.5  0.910 15.631 -0.242 8.708E+09 17.062 16.783 15.873 15.356 14.842 14.326 14.032 13.957 13.748 13.691 13.652 13.619 17.891 16.304 15.586 15.336 15.224 16.185
  5250. 8.5  0.910 15.418 -0.188 8.025E+09 16.542 16.410 15.607 15.137 14.663 14.195 13.895 13.810 13.645 13.604 13.577 13.555 17.365 15.979 15.355 15.144 15.059 15.902
  5500. 8.5  0.911 15.215 -0.145 7.072E+09 16.065 16.069 15.360 14.933 14.496 14.073 13.784 13.704 13.567 13.535 13.515 13.499 16.884 15.681 15.142 14.965 14.906 15.636
  6000. 8.5  0.913 14.835 -0.099 5.244E+09 15.229 15.488 14.934 14.581 14.207 13.862 13.604 13.545 13.444 13.425 13.415 13.408 16.044 15.169 14.774 14.656 14.639 15.164
  6500. 8.5  0.914 14.486 -0.102 4.428E+09 14.576 15.028 14.588 14.293 13.971 13.689 13.459 13.423 13.351 13.342 13.340 13.341 15.392 14.758 14.475 14.404 14.422 14.773
  7000. 8.5  0.915 14.163 -0.130 3.793E+09 14.085 14.654 14.293 14.046 13.769 13.541 13.339 13.323 13.275 13.275 13.279 13.283 14.905 14.416 14.218 14.187 14.236 14.445
  7500. 8.5  0.916 13.863 -0.168 3.261E+09 13.698 14.336 14.031 13.824 13.585 13.409 13.236 13.235 13.205 13.210 13.216 13.220 14.521 14.120 13.987 13.990 14.065 14.159
  8000. 8.5  0.916 13.582 -0.210 2.791E+09 13.380 14.058 13.792 13.619 13.413 13.288 13.144 13.155 13.136 13.145 13.151 13.155 14.205 13.856 13.775 13.808 13.907 13.905
  8500. 8.5  0.917 13.318 -0.253 2.377E+09 13.109 13.808 13.570 13.427 13.253 13.176 13.059 13.080 13.068 13.080 13.087 13.091 13.935 13.615 13.578 13.637 13.760 13.675
  9000. 8.5  0.918 13.068 -0.294 2.018E+09 12.871 13.581 13.363 13.248 13.103 13.072 12.979 13.008 13.001 13.016 13.024 13.030 13.699 13.394 13.393 13.477 13.622 13.464
  9500. 8.5  0.919 12.833 -0.334 1.706E+09 12.657 13.372 13.167 13.079 12.962 12.974 12.904 12.940 12.935 12.954 12.963 12.971 13.487 13.189 13.219 13.326 13.493 13.269
 10000. 8.5  0.919 12.609 -0.374 1.435E+09 12.461 13.178 12.983 12.921 12.831 12.884 12.834 12.875 12.871 12.893 12.902 12.913 13.293 12.998 13.057 13.186 13.374 13.087
 10500. 8.5  0.920 12.396 -0.418 1.205E+09 12.282 13.001 12.814 12.777 12.713 12.801 12.768 12.814 12.810 12.834 12.843 12.855 13.115 12.822 12.909 13.058 13.267 12.920
 11000. 8.5  0.921 12.193 -0.473 1.037E+09 12.121 12.844 12.666 12.652 12.610 12.728 12.711 12.760 12.755 12.780 12.788 12.801 12.955 12.668 12.780 12.947 13.174 12.773
 11500. 8.5  0.922 12.000 -0.543 9.044E+08 11.978 12.710 12.542 12.547 12.525 12.666 12.661 12.714 12.708 12.734 12.742 12.755 12.814 12.537 12.671 12.856 13.097 12.647
 12000. 8.5  0.922 11.814 -0.624 8.015E+08 11.851 12.595 12.438 12.458 12.454 12.614 12.617 12.673 12.669 12.695 12.703 12.717 12.688 12.425 12.580 12.779 13.031 12.539
 12500. 8.5  0.923 11.636 -0.713 7.237E+08 11.740 12.494 12.348 12.383 12.393 12.569 12.579 12.637 12.635 12.661 12.670 12.685 12.577 12.328 12.502 12.714 12.976 12.445
 13000. 8.5  0.924 11.465 -0.812 6.551E+08 11.650 12.412 12.277 12.323 12.346 12.533 12.548 12.608 12.607 12.633 12.642 12.658 12.487 12.249 12.440 12.663 12.932 12.369
 13500. 8.5  0.924 11.300 -0.922 5.927E+08 11.579 12.348 12.222 12.278 12.310 12.504 12.524 12.584 12.584 12.610 12.619 12.634 12.417 12.188 12.393 12.624 12.899 12.310
 14000. 8.5  0.925 11.141 -1.028 5.365E+08 11.508 12.284 12.169 12.233 12.274 12.476 12.499 12.560 12.560 12.586 12.595 12.610 12.346 12.127 12.346 12.586 12.865 12.252
 14500. 8.5  0.926 10.988 -1.124 4.871E+08 11.430 12.215 12.112 12.185 12.234 12.444 12.472 12.533 12.535 12.561 12.571 12.586 12.268 12.062 12.296 12.544 12.828 12.188
 15000. 8.5  0.926 10.840 -1.215 4.439E+08 11.346 12.144 12.055 12.134 12.193 12.411 12.442 12.505 12.509 12.535 12.545 12.560 12.185 11.995 12.244 12.500 12.789 12.122
 15500. 8.5  0.927 10.697 -1.302 4.060E+08 11.260 12.072 11.999 12.084 12.150 12.376 12.412 12.477 12.483 12.508 12.519 12.534 12.099 11.929 12.192 12.456 12.748 12.055
 16000. 8.5  0.927 10.558 -1.386 3.723E+08 11.174 12.003 11.945 12.034 12.107 12.342 12.381 12.447 12.456 12.482 12.493 12.508 12.014 11.866 12.140 12.411 12.707 11.990
 16500. 8.5  0.928 10.424 -1.469 3.419E+08 11.089 11.936 11.893 11.986 12.065 12.307 12.351 12.418 12.429 12.455 12.467 12.483 11.929 11.804 12.091 12.367 12.667 11.926
 17000. 8.5  0.929 10.294 -1.549 3.145E+08 11.007 11.871 11.843 11.939 12.023 12.272 12.320 12.389 12.402 12.429 12.441 12.457 11.847 11.745 12.043 12.324 12.627 11.864
 20000. 8.5  0.932  9.584 -1.984 1.966E+08 10.556 11.524 11.568 11.678 11.788 12.075 12.140 12.218 12.246 12.276 12.292 12.313 11.397 11.427 11.776 12.082 12.399 11.524
 25000. 8.5  0.938  8.608 -2.563 9.664E+07  9.943 11.040 11.171 11.300 11.441 11.780 11.865 11.958 12.009 12.047 12.070 12.098 10.785 10.978 11.392 11.727 12.063 11.042
 30000. 8.5  0.944  7.810 -2.986 4.695E+07  9.401 10.595 10.796 10.937 11.101 11.478 11.582 11.686 11.753 11.793 11.820 11.848 10.244 10.562 11.024 11.381 11.730 10.594
 35000. 8.5  0.954  7.128 -3.370 2.478E+07  9.000 10.248 10.498 10.643 10.817 11.212 11.324 11.427 11.494 11.524 11.548 11.566  9.843 10.234 10.727 11.095 11.449 10.247
 40000. 8.5  0.960  6.541 -3.771 9.758E+06  8.764 10.039 10.312 10.459 10.639 11.041 11.156 11.259 11.324 11.352 11.374 11.389  9.608 10.033 10.541 10.916 11.272 10.036
 45000. 8.5  0.966  6.023 -4.152 4.045E+06  8.596  9.887 10.176 10.324 10.508 10.915 11.031 11.133 11.198 11.224 11.245 11.258  9.440  9.887 10.405 10.784 11.142  9.884
 50000. 8.5  0.972  5.559 -4.506 2.016E+06  8.463  9.766 10.065 10.215 10.402 10.811 10.929 11.031 11.094 11.120 11.139 11.151  9.308  9.770 10.295 10.677 11.036  9.762
 55000. 8.5  0.977  5.140 -4.832 1.256E+06  8.352  9.663  9.971 10.122 10.311 10.723 10.842 10.943 11.006 11.031 11.049 11.059  9.197  9.670 10.202 10.586 10.946  9.660
 60000. 8.5  0.982  4.756 -5.132 9.136E+05  8.255  9.573  9.888 10.040 10.230 10.644 10.764 10.865 10.927 10.951 10.969 10.978  9.100  9.583 10.119 10.505 10.866  9.570
 65000. 8.5  0.987  4.403 -5.410 7.222E+05  8.169  9.493  9.813  9.966 10.158 10.573 10.694 10.795 10.857 10.880 10.897 10.905  9.014  9.504 10.044 10.432 10.794  9.489
 70000. 8.5  0.992  4.076 -5.669 6.018E+05  8.091  9.419  9.744  9.898 10.091 10.508 10.629 10.730 10.791 10.814 10.831 10.838  8.936  9.432  9.976 10.365 10.727  9.415
 75000. 8.5  0.997  3.770 -5.910 5.129E+05  8.018  9.351  9.680  9.834 10.028 10.447 10.568 10.670 10.730 10.753 10.769 10.776  8.863  9.365  9.912 10.302 10.665  9.347
 80000. 8.5  1.002  3.485 -6.135 4.510E+05  7.951  9.287  9.620  9.775  9.970 10.390 10.512 10.613 10.673 10.695 10.711 10.718  8.796  9.303  9.853 10.244 10.607  9.283
 85000. 8.5  1.006  3.217 -6.347 4.114E+05  7.888  9.228  9.564  9.719  9.916 10.336 10.458 10.559 10.619 10.641 10.657 10.663  8.733  9.245  9.797 10.189 10.553  9.223
 90000. 8.5  1.011  2.964 -6.547 3.859E+05  7.829  9.171  9.511  9.666  9.864 10.285 10.408 10.509 10.568 10.590 10.605 10.611  8.674  9.189  9.743 10.137 10.501  9.167
100000. 8.5  1.019  2.498 -6.913 3.412E+05  7.719  9.067  9.411  9.568  9.766 10.189 10.313 10.414 10.473 10.494 10.508 10.514  8.565  9.087  9.645 10.039 10.404  9.062
110000. 8.5  1.025  2.077 -7.245 2.569E+05  7.622  8.973  9.322  9.479  9.679 10.103 10.227 10.329 10.387 10.408 10.423 10.429  8.467  8.995  9.556  9.952 10.317  8.969
120000. 8.5  1.028  1.696 -7.546 1.383E+05  7.534  8.889  9.242  9.400  9.601 10.027 10.151 10.252 10.311 10.332 10.346 10.353  8.380  8.912  9.476  9.873 10.240  8.885
  1500. 9.0  1.194 21.814  1.128 7.334E+09 24.559 22.529 20.687 20.902 22.851 22.454 22.325 23.224 18.954 18.533 18.391 17.937 25.538 21.498 20.768 23.211 22.666 21.514
  1750. 9.0  1.194 21.145  1.025 7.314E+09 24.018 22.095 20.120 20.102 21.562 21.315 21.310 22.093 18.418 18.059 17.945 17.583 24.981 21.041 19.988 21.916 21.563 20.873
  2000. 9.0  1.194 20.565  0.862 7.290E+09 23.506 21.711 19.703 19.459 20.431 20.391 20.511 21.193 18.003 17.692 17.591 17.287 24.453 20.676 19.384 20.786 20.587 20.354
  2250. 9.0  1.194 20.054  0.659 7.269E+09 23.050 21.378 19.394 18.968 19.516 19.579 19.783 20.332 17.612 17.343 17.247 16.988 23.982 20.375 18.949 19.880 19.771 19.949
  2500. 9.0  1.194 19.596  0.460 7.247E+09 22.628 21.071 19.136 18.567 18.753 18.911 19.190 19.628 17.294 17.057 16.960 16.728 23.547 20.102 18.617 19.136 19.079 19.609
  2750. 9.0  1.194 19.182  0.273 7.224E+09 22.233 20.782 18.910 18.237 18.131 18.321 18.649 18.985 17.002 16.792 16.690 16.477 23.141 19.849 18.358 18.543 18.504 19.321
  3000. 9.0  1.194 18.804  0.103 7.197E+09 21.850 20.503 18.701 17.959 17.621 17.797 18.166 18.446 16.748 16.562 16.457 16.255 22.748 19.607 18.144 18.070 18.018 19.069
  3250. 9.0  1.194 18.457 -0.042 7.165E+09 21.465 20.221 18.499 17.721 17.217 17.313 17.686 17.909 16.490 16.327 16.216 16.021 22.353 19.364 17.955 17.703 17.615 18.840
  3500. 9.0  1.194 18.135 -0.158 7.126E+09 21.062 19.925 18.293 17.511 16.909 16.865 17.218 17.399 16.231 16.090 15.975 15.786 21.942 19.111 17.773 17.424 17.292 18.624
  3750. 9.0  1.194 17.835 -0.250 7.073E+09 20.650 19.623 18.085 17.324 16.681 16.459 16.754 16.901 15.967 15.842 15.727 15.545 21.522 18.852 17.596 17.210 17.045 18.416
  4000. 9.0  1.194 17.555 -0.301 6.998E+09 20.186 19.282 17.855 17.133 16.490 16.100 16.303 16.407 15.680 15.567 15.454 15.288 21.048 18.563 17.404 17.021 16.843 18.190
  4250. 9.0  1.194 17.292 -0.324 6.905E+09 19.697 18.925 17.616 16.940 16.316 15.811 15.888 15.943 15.395 15.288 15.182 15.038 20.551 18.261 17.203 16.843 16.668 17.953
  4500. 9.0  1.194 17.043 -0.308 6.781E+09 19.156 18.533 17.351 16.728 16.139 15.591 15.523 15.553 15.135 15.036 14.943 14.832 20.002 17.928 16.981 16.655 16.498 17.688
  4750. 9.0  1.194 16.808 -0.272 6.649E+09 18.603 18.136 17.081 16.511 15.959 15.422 15.232 15.222 14.910 14.824 14.753 14.684 19.441 17.589 16.752 16.464 16.331 17.411
  5000. 9.0  1.194 16.586 -0.224 6.494E+09 18.060 17.745 16.810 16.290 15.779 15.277 15.020 14.968 14.737 14.673 14.626 14.587 18.891 17.253 16.520 16.272 16.164 17.129
  5250. 9.0  1.194 16.374 -0.176 6.310E+09 17.549 17.376 16.550 16.077 15.605 15.146 14.867 14.793 14.617 14.571 14.541 14.517 18.374 16.933 16.296 16.086 16.004 16.853
  5500. 9.0  1.194 16.171 -0.134 6.048E+09 17.074 17.036 16.305 15.876 15.441 15.024 14.749 14.673 14.531 14.496 14.475 14.458 17.895 16.636 16.084 15.909 15.852 16.590
  6000. 9.0  1.195 15.793 -0.083 5.102E+09 16.246 16.448 15.876 15.521 15.149 14.811 14.562 14.505 14.401 14.380 14.370 14.362 17.061 16.119 15.714 15.597 15.583 16.117
  6500. 9.0  1.195 15.445 -0.080 4.404E+09 15.565 15.976 15.525 15.230 14.910 14.636 14.416 14.379 14.303 14.293 14.290 14.290 16.380 15.700 15.412 15.341 15.362 15.720
  7000. 9.0  1.196 15.123 -0.110 4.003E+09 15.043 15.597 15.233 14.987 14.709 14.489 14.294 14.277 14.226 14.224 14.227 14.232 15.862 15.358 15.159 15.127 15.177 15.388
  7500. 9.0  1.196 14.823 -0.154 3.677E+09 14.639 15.281 14.977 14.771 14.531 14.360 14.191 14.190 14.158 14.163 14.169 14.174 15.461 15.066 14.936 14.937 15.013 15.105
  8000. 9.0  1.196 14.543 -0.203 3.386E+09 14.312 15.007 14.746 14.574 14.366 14.244 14.100 14.111 14.092 14.101 14.108 14.112 15.135 14.809 14.731 14.761 14.860 14.855
  8500. 9.0  1.196 14.279 -0.252 3.113E+09 14.035 14.764 14.532 14.389 14.211 14.135 14.017 14.038 14.027 14.039 14.046 14.050 14.861 14.576 14.541 14.596 14.718 14.629
  9000. 9.0  1.196 14.031 -0.301 2.864E+09 13.794 14.544 14.331 14.216 14.066 14.034 13.938 13.967 13.963 13.978 13.985 13.991 14.622 14.363 14.362 14.441 14.583 14.423
  9500. 9.0  1.197 13.796 -0.347 2.643E+09 13.579 14.343 14.143 14.052 13.928 13.940 13.864 13.900 13.899 13.918 13.926 13.934 14.408 14.166 14.195 14.294 14.457 14.233
 10000. 9.0  1.197 13.573 -0.392 2.444E+09 13.383 14.156 13.965 13.898 13.799 13.850 13.793 13.834 13.836 13.858 13.868 13.878 14.213 13.981 14.037 14.156 14.339 14.055
 10500. 9.0  1.197 13.361 -0.437 2.260E+09 13.202 13.982 13.798 13.754 13.679 13.767 13.725 13.772 13.773 13.799 13.809 13.823 14.033 13.810 13.889 14.027 14.229 13.889
 11000. 9.0  1.197 13.159 -0.488 2.089E+09 13.035 13.825 13.646 13.624 13.570 13.691 13.663 13.714 13.715 13.742 13.752 13.767 13.868 13.654 13.755 13.911 14.131 13.739
 11500. 9.0  1.197 12.965 -0.550 1.933E+09 12.886 13.686 13.515 13.511 13.477 13.625 13.609 13.663 13.662 13.691 13.700 13.716 13.719 13.518 13.639 13.811 14.046 13.606
 12000. 9.0  1.198 12.780 -0.623 1.793E+09 12.752 13.565 13.404 13.416 13.399 13.568 13.560 13.617 13.617 13.647 13.657 13.674 13.586 13.400 13.541 13.727 13.974 13.491
 12500. 9.0  1.198 12.603 -0.705 1.665E+09 12.631 13.459 13.308 13.334 13.331 13.517 13.517 13.577 13.579 13.609 13.619 13.638 13.466 13.298 13.456 13.655 13.912 13.390
 13000. 9.0  1.198 12.432 -0.791 1.546E+09 12.522 13.364 13.223 13.262 13.272 13.473 13.479 13.541 13.544 13.576 13.586 13.606 13.357 13.207 13.382 13.592 13.857 13.300
 13500. 9.0  1.198 12.268 -0.883 1.434E+09 12.428 13.281 13.151 13.200 13.222 13.434 13.446 13.510 13.515 13.547 13.558 13.578 13.263 13.127 13.318 13.538 13.811 13.222
 14000. 9.0  1.199 12.110 -0.982 1.330E+09 12.351 13.214 13.092 13.151 13.182 13.404 13.419 13.485 13.492 13.524 13.535 13.555 13.187 13.063 13.267 13.496 13.774 13.159
 14500. 9.0  1.199 11.957 -1.088 1.232E+09 12.289 13.159 13.046 13.111 13.150 13.378 13.398 13.464 13.472 13.503 13.514 13.534 13.125 13.011 13.225 13.462 13.744 13.108
 15000. 9.0  1.199 11.810 -1.189 1.142E+09 12.226 13.104 12.999 13.071 13.118 13.353 13.375 13.443 13.452 13.483 13.494 13.514 13.063 12.958 13.184 13.428 13.714 13.056
 15500. 9.0  1.199 11.667 -1.282 1.059E+09 12.158 13.044 12.949 13.029 13.084 13.325 13.351 13.420 13.431 13.461 13.473 13.492 12.995 12.902 13.140 13.391 13.682 13.000
 16000. 9.0  1.199 11.529 -1.369 9.812E+08 12.085 12.982 12.898 12.984 13.047 13.296 13.326 13.396 13.408 13.439 13.450 13.469 12.923 12.843 13.094 13.353 13.648 12.942
