#     6   58  Pure hydrogen grid                   Sun Sep  6 14:45:00 2015
  Teff  logg  M/Mo  Mbol     BC     Age      U      B      V      R      I      J      H      K    IR1    IR2    IR3    IR4     u      g      r      i      z      KG5
 12500. 7.0  0.234  9.376 -0.793 5.545E+07  9.757 10.238 10.169 10.222 10.260 10.389 10.418 10.455 10.442 10.456 10.462 10.469 10.609 10.083 10.332 10.577 10.837 10.278
 13000. 7.0  0.237  9.194 -0.891 4.702E+07  9.624 10.133 10.085 10.144 10.191 10.333 10.368 10.407 10.397 10.412 10.418 10.427 10.476  9.986 10.253 10.506 10.771 10.179
 13500. 7.0  0.239  9.018 -0.988 3.995E+07  9.495 10.035 10.006 10.070 10.125 10.279 10.318 10.359 10.353 10.368 10.376 10.385 10.347  9.896 10.177 10.438 10.708 10.085
 14000. 7.0  0.242  8.848 -1.083 3.464E+07  9.371  9.942  9.931 10.000 10.061 10.226 10.269 10.313 10.309 10.325 10.334 10.343 10.223  9.810 10.105 10.372 10.646  9.995
 14500. 7.0  0.244  8.684 -1.175 2.999E+07  9.252  9.853  9.859  9.931  9.999 10.174 10.221 10.267 10.267 10.283 10.293 10.303 10.103  9.728 10.035 10.309 10.586  9.909
 15000. 7.0  0.247  8.525 -1.265 2.620E+07  9.137  9.770  9.790  9.866  9.939 10.124 10.174 10.222 10.225 10.242 10.252 10.263  9.988  9.650  9.968 10.247 10.528  9.827
 15500. 7.0  0.250  8.372 -1.352 2.306E+07  9.028  9.690  9.723  9.802  9.880 10.075 10.128 10.179 10.184 10.202 10.213 10.224  9.878  9.576  9.903 10.187 10.471  9.747
 16000. 7.0  0.252  8.223 -1.436 2.034E+07  8.922  9.613  9.659  9.741  9.824 10.027 10.083 10.136 10.145 10.163 10.174 10.186  9.773  9.504  9.841 10.129 10.416  9.670
 16500. 7.0  0.254  8.079 -1.517 1.805E+07  8.822  9.539  9.596  9.681  9.769  9.981 10.040 10.095 10.106 10.125 10.137 10.149  9.671  9.435  9.780 10.073 10.363  9.596
 17000. 7.0  0.257  7.939 -1.597 1.600E+07  8.725  9.468  9.536  9.623  9.716  9.936  9.997 10.055 10.068 10.088 10.100 10.113  9.574  9.369  9.722 10.018 10.312  9.525
 20000. 7.0  0.270  7.180 -2.027 7.439E+06  8.212  9.087  9.207  9.309  9.424  9.687  9.762  9.831  9.858  9.882  9.899  9.917  9.059  9.009  9.403  9.720 10.029  9.137
 25000. 7.0  0.288  6.141 -2.605 2.546E+06  7.532  8.559  8.746  8.867  9.011  9.330  9.424  9.509  9.558  9.591  9.615  9.642  8.378  8.510  8.955  9.299  9.628  8.598
