log(g) logTeff y Filt Mod Teff
5.0 3.301 0.7932 g' PHOENIX 1999.8618696327449
5.0 3.342 0.7579 g' PHOENIX 2197.8598727848253
5.0 3.38 0.7267 g' PHOENIX 2398.83291901949
5.0 3.415 0.6915 g' PHOENIX 2600.159563165272
5.0 3.447 0.6175 g' PHOENIX 2798.981319634363
5.0 3.477 0.536 g' PHOENIX 2999.16251898765
5.0 3.505 0.48 g' PHOENIX 3198.895109691397
5.0 3.531 0.4332 g' PHOENIX 3396.2527259040853
5.0 3.556 0.4177 g' PHOENIX 3597.4933515574235
5.0 3.58 0.4585 g' PHOENIX 3801.8939632056126
5.0 3.602 0.5162 g' PHOENIX 3999.4474976109736
5.0 3.623 0.6324 g' PHOENIX 4197.589839910078
5.0 3.643 0.7884 g' PHOENIX 4395.416154378243
5.0 3.663 0.7627 g' PHOENIX 4602.565735813559
5.0 3.681 0.7701 g' PHOENIX 4797.334486366892
5.0 3.699 0.7251 g' PHOENIX 5000.345349769783
5.0 3.716 0.676 g' PHOENIX 5199.959965335162
5.0 3.732 0.6057 g' PHOENIX 5395.1062251512785
5.0 3.748 0.5407 g' PHOENIX 5597.576014951104
5.0 3.763 0.4486 g' PHOENIX 5794.286964268809
5.0 3.845 0.2861 g' PHOENIX 6998.419960022738
5.0 3.857 0.192 g' PHOENIX 7194.489780036998
5.0 3.869 0.1429 g' PHOENIX 7396.052750582382
5.0 3.881 0.3236 g' PHOENIX 7603.262769401815
5.0 3.892 0.7299 g' PHOENIX 7798.3011052325855
5.0 3.903 0.8998 g' PHOENIX 7998.342550070284
5.0 3.914 0.8966 g' PHOENIX 8203.515443298185
5.0 3.924 0.884 g' PHOENIX 8394.599865193974
5.0 3.934 0.8722 g' PHOENIX 8590.13521505396
5.0 3.944 0.9077 g' PHOENIX 8790.225168308842
5.0 3.954 0.866 g' PHOENIX 8994.975815300355
5.0 3.964 0.7936 g' PHOENIX 9204.495717531712
5.0 3.973 0.7929 g' PHOENIX 9397.233105646375
5.0 3.982 0.6767 g' PHOENIX 9594.006315159337
5.0 3.991 0.408 g' PHOENIX 9794.89985408699
