Teff log(g) y1 y2 y
9000.0 3.5 0.5582 -0.0003 0.5579000000000001
9200.0 3.5 0.5483 -0.0011 0.5472
9400.0 3.5 0.5402 -0.002 0.5382
9600.0 3.5 0.537 -0.0026 0.5344
9800.0 3.5 0.5316 -0.0035 0.5281
10000.0 3.5 0.5195 -0.0044 0.5151
10200.0 3.5 0.5125 -0.0051 0.5074
10400.0 3.5 0.5061 -0.0058 0.5003
10600.0 3.5 0.4998 -0.0061 0.4937
10800.0 3.5 0.4932 -0.0064 0.4868
11000.0 3.5 0.4857 -0.0065 0.4792
11200.0 3.5 0.4351 -0.0065 0.4286
11400.0 3.5 0.4284 -0.0065 0.4219
11600.0 3.5 0.5114 -0.0092 0.5022
11800.0 3.5 0.5038 -0.009 0.4948
12000.0 3.5 0.4031 -0.0089 0.3942
2300.0 4.0 1.5286 0.222 1.7506
2400.0 4.0 2.4657 0.0408 2.5065
2500.0 4.0 3.2011 -0.0282 3.1729
2600.0 4.0 3.4621 -0.0483 3.4138
2700.0 4.0 3.2744 -0.0235 3.2509
2900.0 4.0 2.9362 0.0499 2.9861
3100.0 4.0 2.6141 0.1104 2.7245
3200.0 4.0 2.449 0.1252 2.5742
3300.0 4.0 2.4226 0.1319 2.5545
3400.0 4.0 2.4671 0.1225 2.5896
3500.0 4.0 2.4918 0.0964 2.5882
3600.0 4.0 2.435 0.0696 2.5046
3700.0 4.0 2.3409 0.0407 2.3816
3800.0 4.0 2.2639 0.0153 2.2792
3900.0 4.0 2.1824 -0.007 2.1754
4000.0 4.0 2.071 -0.0168 2.0542000000000002
4100.0 4.0 1.9019 -0.0164 1.8855
4200.0 4.0 1.7028 -0.0122 1.6906
4300.0 4.0 1.5582 -0.0052 1.553
4400.0 4.0 1.4578 0.0006 1.4584
4500.0 4.0 1.3814 0.0021 1.3835
4600.0 4.0 1.3193 0.0021 1.3214
4700.0 4.0 1.273 0.0019 1.2749
4800.0 4.0 1.238 0.0014 1.2394
4900.0 4.0 1.1329 0.0016 1.1345
5100.0 4.0 1.1016 0.0001 1.1017
5200.0 4.0 1.1221 -0.0002 1.1219000000000001
5300.0 4.0 1.0907 -0.0004 1.0903
5400.0 4.0 1.0562 -0.0001 1.0561
5500.0 4.0 1.0376 -0.0019 1.0357
5600.0 4.0 1.0188 -0.0019 1.0169
5700.0 4.0 1.0037 -0.0019 1.0018
5800.0 4.0 0.9909 -0.0018 0.9891
5900.0 4.0 0.9801 -0.0107 0.9693999999999999
6000.0 4.0 0.9285 -0.0073 0.9212
6100.0 4.0 0.9204 -0.0083 0.9121
6200.0 4.0 0.977 -0.0097 0.9672999999999999
6300.0 4.0 0.9637 -0.0129 0.9508
6400.0 4.0 0.9293 -0.0115 0.9178000000000001
6500.0 4.0 0.9195 -0.015 0.9045
6600.0 4.0 0.9084 -0.0129 0.8955
6700.0 4.0 0.8959 -0.0155 0.8804000000000001
6800.0 4.0 0.885 -0.0163 0.8687
6900.0 4.0 0.8744 -0.0137 0.8606999999999999
7000.0 4.0 0.878 -0.0137 0.8643
7200.0 4.0 0.8349 -0.013 0.8219
7400.0 4.0 0.7075 -0.0184 0.6891
7600.0 4.0 0.7759 -0.0094 0.7665000000000001
7800.0 4.0 0.8321 -0.0042 0.8279
8000.0 4.0 0.7032 -0.0043 0.6989000000000001
8200.0 4.0 0.6671 -0.0025 0.6646000000000001
8400.0 4.0 0.6265 -0.0014 0.6251
8600.0 4.0 0.5936 -0.0007 0.5929
8800.0 4.0 0.5842 -0.0006 0.5836
9000.0 4.0 0.559 -0.0004 0.5586000000000001
9200.0 4.0 0.5401 -0.0004 0.5397000000000001
9400.0 4.0 0.5304 -0.0008 0.5296
9600.0 4.0 0.5218 -0.0002 0.5216000000000001
9800.0 4.0 0.5151 -0.0025 0.5126000000000001
10000.0 4.0 0.5095 -0.0032 0.5063
10200.0 4.0 0.5022 -0.0039 0.49829999999999997
10400.0 4.0 0.497 -0.0046 0.4924
10600.0 4.0 0.4924 -0.0053 0.4871
10800.0 4.0 0.4876 -0.0058 0.4818
11000.0 4.0 0.4819 -0.0062 0.4757
11200.0 4.0 0.4768 -0.0065 0.4703
11400.0 4.0 0.4235 -0.004 0.4195
11600.0 4.0 0.4176 -0.0042 0.41340000000000005
11800.0 4.0 0.4609 -0.007 0.45389999999999997
12000.0 4.0 0.4541 -0.007 0.4471
2300.0 4.5 -0.9113 0.2731 -0.6382
2400.0 4.5 1.2378 0.2117 1.4495
2500.0 4.5 2.7476 -0.0108 2.7367999999999997
2600.0 4.5 3.405 -0.0574 3.3476
2700.0 4.5 3.4902 -0.0516 3.4386
2900.0 4.5 3.1707 0.0002 3.1709
3100.0 4.5 2.8185 0.0509 2.8693999999999997
3200.0 4.5 2.5466 0.0658 2.6124
3300.0 4.5 2.4234 0.0724 2.4958
3400.0 4.5 2.3652 0.0684 2.4336
3500.0 4.5 2.3322 0.0573 2.3895
3600.0 4.5 2.2563 0.0436 2.2999
3700.0 4.5 2.1477 0.0297 2.1774
3800.0 4.5 2.0551 0.0161 2.0711999999999997
3900.0 4.5 1.9779 0.001 1.9788999999999999
4000.0 4.5 1.9299 -0.0122 1.9177
4100.0 4.5 1.8725 -0.0215 1.851
4200.0 4.5 1.7824 -0.0247 1.7577
