log(g) logTeff y Filt Mod Teff
5.0 3.301 0.6431 u' PHOENIX 1999.8618696327449
5.0 3.342 0.5073 u' PHOENIX 2197.8598727848253
5.0 3.38 0.4174 u' PHOENIX 2398.83291901949
5.0 3.415 0.4851 u' PHOENIX 2600.159563165272
5.0 3.447 0.4937 u' PHOENIX 2798.981319634363
5.0 3.477 0.4252 u' PHOENIX 2999.16251898765
5.0 3.505 0.4544 u' PHOENIX 3198.895109691397
5.0 3.531 0.4174 u' PHOENIX 3396.2527259040853
5.0 3.556 0.4316 u' PHOENIX 3597.4933515574235
5.0 3.58 0.5479 u' PHOENIX 3801.8939632056126
5.0 3.602 0.6645 u' PHOENIX 3999.4474976109736
5.0 3.623 0.7362 u' PHOENIX 4197.589839910078
5.0 3.643 0.9548 u' PHOENIX 4395.416154378243
5.0 3.663 1.2367 u' PHOENIX 4602.565735813559
5.0 3.681 1.3063 u' PHOENIX 4797.334486366892
5.0 3.699 1.2451 u' PHOENIX 5000.345349769783
5.0 3.716 1.1603 u' PHOENIX 5199.959965335162
5.0 3.732 1.0442 u' PHOENIX 5395.1062251512785
5.0 3.748 0.9259 u' PHOENIX 5597.576014951104
5.0 3.763 0.6718 u' PHOENIX 5794.286964268809
5.0 3.845 0.4456 u' PHOENIX 6998.419960022738
5.0 3.857 0.2579 u' PHOENIX 7194.489780036998
5.0 3.869 0.1928 u' PHOENIX 7396.052750582382
5.0 3.881 0.4218 u' PHOENIX 7603.262769401815
5.0 3.892 0.9303 u' PHOENIX 7798.3011052325855
5.0 3.903 1.137 u' PHOENIX 7998.342550070284
5.0 3.914 1.1307 u' PHOENIX 8203.515443298185
5.0 3.924 1.1152 u' PHOENIX 8394.599865193974
5.0 3.934 1.1171 u' PHOENIX 8590.13521505396
5.0 3.944 1.156 u' PHOENIX 8790.225168308842
5.0 3.954 1.1514 u' PHOENIX 8994.975815300355
5.0 3.964 1.1783 u' PHOENIX 9204.495717531712
5.0 3.973 1.0881 u' PHOENIX 9397.233105646375
5.0 3.982 0.8597 u' PHOENIX 9594.006315159337
5.0 3.991 0.6327 u' PHOENIX 9794.89985408699
