Teff log(g) y1 y2 y
9000.0 3.5 0.7016 -0.0146 0.687
9200.0 3.5 0.6719 -0.0135 0.6584000000000001
9400.0 3.5 0.6465 -0.0126 0.6338999999999999
9600.0 3.5 0.6288 -0.0112 0.6176
9800.0 3.5 0.6107 -0.0104 0.6003000000000001
10000.0 3.5 0.5874 -0.0098 0.5776
10200.0 3.5 0.5723 -0.0092 0.5631
10400.0 3.5 0.5593 -0.0088 0.5505
10600.0 3.5 0.5475 -0.0082 0.5393
10800.0 3.5 0.5367 -0.0078 0.5288999999999999
11000.0 3.5 0.5263 -0.0073 0.519
11200.0 3.5 0.4643 -0.0069 0.4574
11400.0 3.5 0.4562 -0.0066 0.4496
11600.0 3.5 0.5564 -0.0097 0.5467
11800.0 3.5 0.5483 -0.0096 0.5387
12000.0 3.5 0.4307 -0.0093 0.42140000000000005
2300.0 4.0 2.5331 0.1292 2.6623
2400.0 4.0 3.1037 -0.0423 3.0614
2500.0 4.0 3.4627 -0.0681 3.3946
2600.0 4.0 3.4896 -0.0546 3.4349999999999996
2700.0 4.0 3.2869 -0.0278 3.2591
2900.0 4.0 3.0503 0.0233 3.0736
3100.0 4.0 2.8268 0.0509 2.8777
3200.0 4.0 2.6193 0.0562 2.6755
3300.0 4.0 2.4901 0.0626 2.5527
3400.0 4.0 2.4288 0.0623 2.4911
3500.0 4.0 2.3954 0.0506 2.446
3600.0 4.0 2.3872 0.0335 2.4207
3700.0 4.0 2.4251 0.0089 2.434
3800.0 4.0 2.4652 -0.0152 2.4499999999999997
3900.0 4.0 2.5088 -0.0343 2.4745
4000.0 4.0 2.5399 -0.0451 2.4947999999999997
4100.0 4.0 2.465 -0.0442 2.4208
4200.0 4.0 2.3209 -0.039 2.2819
4300.0 4.0 2.2004 -0.0291 2.1713
4400.0 4.0 2.0743 -0.019 2.0553
4500.0 4.0 1.9387 -0.0116 1.9271
4600.0 4.0 1.8481 -0.0077 1.8404
4700.0 4.0 1.7442 -0.005 1.7392
4800.0 4.0 1.6567 -0.0035 1.6532
4900.0 4.0 1.5276 0.0007 1.5283
5100.0 4.0 1.4928 -0.0011 1.4916999999999998
5200.0 4.0 1.5001 -0.0016 1.4985
5300.0 4.0 1.438 0.0009 1.4388999999999998
5400.0 4.0 1.4201 0.0002 1.4203
5500.0 4.0 1.4048 -0.0053 1.3995
5600.0 4.0 1.353 -0.0042 1.3488
5700.0 4.0 1.3202 -0.004 1.3162
5800.0 4.0 1.315 -0.0075 1.3074999999999999
5900.0 4.0 1.2985 -0.0188 1.2797
6000.0 4.0 1.23 -0.0152 1.2147999999999999
6100.0 4.0 1.2369 -0.0182 1.2187000000000001
6200.0 4.0 1.3275 -0.0213 1.3061999999999998
6300.0 4.0 1.2843 -0.0257 1.2586
6400.0 4.0 1.2417 -0.0241 1.2176
6500.0 4.0 1.2453 -0.0301 1.2152
6600.0 4.0 1.2056 -0.0279 1.1777
6700.0 4.0 1.1937 -0.0322 1.1615
6800.0 4.0 1.193 -0.0349 1.1581000000000001
6900.0 4.0 1.1795 -0.0314 1.1481
7000.0 4.0 1.2013 -0.0336 1.1677
7200.0 4.0 1.1645 -0.037 1.1275000000000002
7400.0 4.0 0.9589 -0.0482 0.9107
7600.0 4.0 1.0927 -0.0417 1.051
7800.0 4.0 1.2733 -0.036 1.2373
8000.0 4.0 1.1107 -0.04 1.0707
8200.0 4.0 1.0334 -0.0327 1.0007000000000001
8400.0 4.0 0.8416 -0.0252 0.8164
8600.0 4.0 0.7356 -0.0195 0.7161000000000001
8800.0 4.0 0.7682 -0.0183 0.7499
9000.0 4.0 0.723 -0.0189 0.7041
9200.0 4.0 0.6849 -0.0174 0.6675
9400.0 4.0 0.6605 -0.0163 0.6442
9600.0 4.0 0.637 -0.0137 0.6233
9800.0 4.0 0.6166 -0.0149 0.6017
10000.0 4.0 0.5996 -0.0141 0.5855
10200.0 4.0 0.5817 -0.0135 0.5682
10400.0 4.0 0.5673 -0.0129 0.5544
10600.0 4.0 0.555 -0.0124 0.5426000000000001
10800.0 4.0 0.5437 -0.0119 0.5317999999999999
11000.0 4.0 0.5326 -0.0114 0.5212
11200.0 4.0 0.5231 -0.011 0.5121
11400.0 4.0 0.4559 -0.0074 0.4485
11600.0 4.0 0.4471 -0.0071 0.44
11800.0 4.0 0.4998 -0.0101 0.4897
12000.0 4.0 0.4925 -0.0098 0.4827
2300.0 4.5 -0.1295 0.1679 0.03839999999999999
2400.0 4.5 1.9787 0.0831 2.0618
2500.0 4.5 3.324 -0.0906 3.2334
2600.0 4.5 3.6131 -0.099 3.5141
2700.0 4.5 3.4708 -0.0757 3.3951000000000002
2900.0 4.5 3.2077 -0.0337 3.174
3100.0 4.5 2.936 -0.0007 2.9353
3200.0 4.5 2.6918 0.0085 2.7003000000000004
3300.0 4.5 2.5321 0.0172 2.5492999999999997
3400.0 4.5 2.4217 0.0201 2.4417999999999997
3500.0 4.5 2.3376 0.0199 2.3575
3600.0 4.5 2.2727 0.0151 2.2878
3700.0 4.5 2.2442 0.0066 2.2508000000000004
3800.0 4.5 2.2507 -0.0067 2.244
3900.0 4.5 2.29 -0.0213 2.2687
4000.0 4.5 2.379 -0.0386 2.3404
4100.0 4.5 2.4256 -0.052 2.3736
4200.0 4.5 2.4015 -0.0587 2.3428
4300.0 4.5 2.3647 -0.0527 2.312
4400.0 4.5 2.2194 -0.0454 2.174
4500.0 4.5 2.0287 -0.0335 1.9952
4600.0 4.5 1.9051 -0.0222 1.8829
4700.0 4.5 1.7894 -0.0155 1.7739
4800.0 4.5 1.7041 -0.0084 1.6957
4900.0 4.5 1.5858 -0.0052 1.5806
5100.0 4.5 1.5204 0.0004 1.5208
5200.0 4.5 1.4767 0.0 1.4767
5300.0 4.5 1.4217 0.0014 1.4231
5400.0 4.5 1.3676 0.001 1.3685999999999998
5500.0 4.5 1.3583 -0.0003 1.358
5600.0 4.5 1.3573 -0.0074 1.3498999999999999
5700.0 4.5 1.2368 -0.0084 1.2284
5800.0 4.5 1.0937 -0.0104 1.0833
5900.0 4.5 1.2477 -0.0121 1.2356
6000.0 4.5 1.3342 -0.0143 1.3199
6100.0 4.5 1.2287 -0.0185 1.2102
6200.0 4.5 1.1741 -0.0218 1.1522999999999999
6300.0 4.5 1.2104 -0.0218 1.1885999999999999
6400.0 4.5 1.2092 -0.0238 1.1854
6500.0 4.5 1.1785 -0.0269 1.1516000000000002
6600.0 4.5 1.2144 -0.0284 1.186
6700.0 4.5 1.1779 -0.0295 1.1483999999999999
6800.0 4.5 1.164 -0.0312 1.1328
6900.0 4.5 1.1497 -0.0324 1.1173
7000.0 4.5 1.1503 -0.033 1.1173000000000002
7200.0 4.5 1.048 -0.0382 1.0098
7400.0 4.5 1.1466 -0.0383 1.1083
7600.0 4.5 1.2325 -0.0235 1.2089999999999999
7800.0 4.5 1.1053 -0.0386 1.0667
8000.0 4.5 1.0781 -0.0429 1.0352000000000001
8200.0 4.5 1.0461 -0.0433 1.0028000000000001
8400.0 4.5 1.001 -0.0425 0.9584999999999999
8600.0 4.5 0.8807 -0.0306 0.8501000000000001
8800.0 4.5 0.7534 -0.0249 0.7284999999999999
9000.0 4.5 0.7131 -0.021 0.6920999999999999
9200.0 4.5 0.7058 -0.0196 0.6862
9400.0 4.5 0.6962 -0.02 0.6762
9600.0 4.5 0.6479 -0.019 0.6289
9800.0 4.5 0.6045 -0.0179 0.5866
10000.0 4.5 0.6085 -0.0172 0.5913
10200.0 4.5 0.5909 -0.0165 0.5744
10400.0 4.5 0.576 -0.0158 0.5601999999999999
10600.0 4.5 0.563 -0.0152 0.5478
10800.0 4.5 0.5511 -0.0147 0.5364
11000.0 4.5 0.5396 -0.0141 0.5255
11200.0 4.5 0.5297 -0.0137 0.5159999999999999
11400.0 4.5 0.5202 -0.0135 0.5067
11600.0 4.5 0.5114 -0.0137 0.4977
11800.0 4.5 0.5035 -0.0133 0.49019999999999997
12000.0 4.5 0.4954 -0.013 0.4824
2300.0 5.0 2.0518 0.0905 2.1423
2400.0 5.0 1.3188 0.1679 1.4867
2500.0 5.0 2.152 0.0006 2.1526
2600.0 5.0 3.6016 -0.1168 3.4848
2700.0 5.0 3.6311 -0.1204 3.5107
2900.0 5.0 3.3627 -0.0814 3.2813
3100.0 5.0 3.074 -0.0387 3.0353
3200.0 5.0 2.7841 -0.027 2.7571
3300.0 5.0 2.5996 -0.016 2.5836
3400.0 5.0 2.4555 -0.0091 2.4463999999999997
3500.0 5.0 2.3454 -0.0061 2.3393
3600.0 5.0 2.2497 -0.0066 2.2430999999999996
3700.0 5.0 2.1929 -0.0074 2.1854999999999998
