log(g) logTeff y Filt Mod Teff
5.0 3.301 0.5319 i' PHOENIX 1999.8618696327449
5.0 3.342 0.5513 i' PHOENIX 2197.8598727848253
5.0 3.38 0.5652 i' PHOENIX 2398.83291901949
5.0 3.415 0.5449 i' PHOENIX 2600.159563165272
5.0 3.447 0.4783 i' PHOENIX 2798.981319634363
5.0 3.477 0.3957 i' PHOENIX 2999.16251898765
5.0 3.505 0.347 i' PHOENIX 3198.895109691397
5.0 3.531 0.3108 i' PHOENIX 3396.2527259040853
5.0 3.556 0.2951 i' PHOENIX 3597.4933515574235
5.0 3.58 0.3262 i' PHOENIX 3801.8939632056126
5.0 3.602 0.3992 i' PHOENIX 3999.4474976109736
5.0 3.623 0.4804 i' PHOENIX 4197.589839910078
5.0 3.643 0.4951 i' PHOENIX 4395.416154378243
5.0 3.663 0.475 i' PHOENIX 4602.565735813559
5.0 3.681 0.4635 i' PHOENIX 4797.334486366892
5.0 3.699 0.4412 i' PHOENIX 5000.345349769783
5.0 3.716 0.4142 i' PHOENIX 5199.959965335162
5.0 3.732 0.3801 i' PHOENIX 5395.1062251512785
5.0 3.748 0.3491 i' PHOENIX 5597.576014951104
5.0 3.763 0.2891 i' PHOENIX 5794.286964268809
5.0 3.845 0.1824 i' PHOENIX 6998.419960022738
5.0 3.857 0.1285 i' PHOENIX 7194.489780036998
5.0 3.869 0.0993 i' PHOENIX 7396.052750582382
5.0 3.881 0.2089 i' PHOENIX 7603.262769401815
5.0 3.892 0.4528 i' PHOENIX 7798.3011052325855
5.0 3.903 0.5511 i' PHOENIX 7998.342550070284
5.0 3.914 0.5398 i' PHOENIX 8203.515443298185
5.0 3.924 0.5312 i' PHOENIX 8394.599865193974
5.0 3.934 0.5132 i' PHOENIX 8590.13521505396
5.0 3.944 0.4701 i' PHOENIX 8790.225168308842
5.0 3.954 0.4413 i' PHOENIX 8994.975815300355
5.0 3.964 0.3998 i' PHOENIX 9204.495717531712
5.0 3.973 0.3969 i' PHOENIX 9397.233105646375
5.0 3.982 0.4425 i' PHOENIX 9594.006315159337
5.0 3.991 0.464 i' PHOENIX 9794.89985408699
