log(g) logTeff y Filt Mod Teff
5.0 3.301 0.4391 z' PHOENIX 1999.8618696327449
5.0 3.342 0.4369 z' PHOENIX 2197.8598727848253
5.0 3.38 0.4288 z' PHOENIX 2398.83291901949
5.0 3.415 0.3955 z' PHOENIX 2600.159563165272
5.0 3.447 0.3381 z' PHOENIX 2798.981319634363
5.0 3.477 0.2896 z' PHOENIX 2999.16251898765
5.0 3.505 0.247 z' PHOENIX 3198.895109691397
5.0 3.531 0.2199 z' PHOENIX 3396.2527259040853
5.0 3.556 0.2035 z' PHOENIX 3597.4933515574235
5.0 3.58 0.2176 z' PHOENIX 3801.8939632056126
5.0 3.602 0.2597 z' PHOENIX 3999.4474976109736
5.0 3.623 0.3141 z' PHOENIX 4197.589839910078
5.0 3.643 0.39 z' PHOENIX 4395.416154378243
5.0 3.663 0.3796 z' PHOENIX 4602.565735813559
5.0 3.681 0.3931 z' PHOENIX 4797.334486366892
5.0 3.699 0.3801 z' PHOENIX 5000.345349769783
5.0 3.716 0.3579 z' PHOENIX 5199.959965335162
5.0 3.732 0.3294 z' PHOENIX 5395.1062251512785
5.0 3.748 0.3035 z' PHOENIX 5597.576014951104
5.0 3.763 0.2565 z' PHOENIX 5794.286964268809
5.0 3.845 0.1598 z' PHOENIX 6998.419960022738
5.0 3.857 0.1154 z' PHOENIX 7194.489780036998
5.0 3.869 0.0878 z' PHOENIX 7396.052750582382
5.0 3.881 0.1957 z' PHOENIX 7603.262769401815
5.0 3.892 0.443 z' PHOENIX 7798.3011052325855
5.0 3.903 0.5502 z' PHOENIX 7998.342550070284
5.0 3.914 0.5496 z' PHOENIX 8203.515443298185
5.0 3.924 0.5449 z' PHOENIX 8394.599865193974
5.0 3.934 0.5293 z' PHOENIX 8590.13521505396
5.0 3.944 0.5092 z' PHOENIX 8790.225168308842
5.0 3.954 0.4715 z' PHOENIX 8994.975815300355
5.0 3.964 0.3991 z' PHOENIX 9204.495717531712
5.0 3.973 0.3987 z' PHOENIX 9397.233105646375
5.0 3.982 0.4237 z' PHOENIX 9594.006315159337
5.0 3.991 0.3847 z' PHOENIX 9794.89985408699
